"Probennummer";"Datum";"Klärwerk";"UWW_Code";"UWW_Name";"Durchfluss";"Abwasser_Temperatur";"Abwasser_pH";"Methode";"Erreger";"Target";"Messwert"
"12407919";"2024-07-21";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"217860,0000";"24,99";"7,359";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12407919";"2024-07-21";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"217860,0000";"24,99";"7,359";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12407921";"2024-07-28";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"488100,0000";"22,97";"6,984";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12407921";"2024-07-28";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"488100,0000";"22,97";"6,984";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12408885";"2024-08-04";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"403750,0000";"23,51";"7,242";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12408885";"2024-08-04";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"403750,0000";"23,51";"7,242";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12408887";"2024-08-11";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"209510,0000";"24,87";"7,458";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12408887";"2024-08-11";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"209510,0000";"24,87";"7,458";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12408889";"2024-08-18";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"242080,0000";"25,31";"7,514";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12408889";"2024-08-18";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"242080,0000";"25,31";"7,514";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12408891";"2024-08-25";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"214460,0000";"25,21";"7,549";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12408891";"2024-08-25";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"214460,0000";"25,21";"7,549";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12410431";"2024-09-01";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"224390,0000";"25,19";"7,530";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12410431";"2024-09-01";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"224390,0000";"25,19";"7,530";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12410434";"2024-09-11";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"219310,0000";"22,94";"7,453";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12410434";"2024-09-11";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"219310,0000";"22,94";"7,453";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12410435";"2024-09-15";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"234500,0000";"23,46";"7,495";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12410435";"2024-09-15";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"234500,0000";"23,46";"7,495";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12410437";"2024-09-22";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"222110,0000";"23,90";"7,585";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12410437";"2024-09-22";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"222110,0000";"23,90";"7,585";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"5166,66666666667"
"12410439";"2024-09-29";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"235900,0000";"22,61";"7,508";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12410439";"2024-09-29";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"235900,0000";"22,61";"7,508";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12411500";"2024-10-06";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"229660,0000";"21,11";"7,879";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
"12411500";"2024-10-06";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"229660,0000";"21,11";"7,879";"dPCR mit Inhibitorentfernung";"Influenza B";"NS2 Gen";"0,00000000000"
"12411502";"2024-10-13";"Klärwerk Ruhleben";"DETP_BE01";"Ruhleben";"281700,0000";"20,39";"7,933";"dPCR mit Inhibitorentfernung";"Influenza A";"M1 Gen";"0,00000000000"
