Jahr;Ersthunde;Zweithunde;weitere Hunde;Hunde mit Steuerermaessigung;steuerfreie Hunde;Anzahl gesamt;Steuereinnahmen in Euro
1998;4479;152;28;38;32;4729;430987
1999;4542;176;30;38;34;4820;434293
2000;4601;173;32;39;32;4877;434922
2001;4523;169;26;30;34;4782;443000
2002;4631;162;19;38;34;4884;450000
2003;4667;154;14;34;27;4896;459000
2004;4647;149;12;30;29;4867;459000
2005;4654;161;12;28;27;4882;465000
2006;4804;200;16;27;27;5074;478000
2007;4844;199;14;28;26;5111;484000
2008;4865;199;13;27;26;5130;490000
2009;4900;214;15;25;26;5180;490000
2010;5013;240;13;23;21;5310;560000
2011;5218;256;14;22;22;5532;561000
2012;5397;295;17;26;22;5757;603000
2013;5544;340;25;28;21;5958;636000
2014;5617;363;32;25;21;6058;650000
2015;5680;394;35;23;22;6154;656000
2016;5767;421;32;19;21;6260;671000
2017;5888;453;43;8;21;6413;687000
2018;5917;480;45;6;20;6468;697000
2019;6048;507;51;3;20;6629;736000
2020;6195;532;44;2;21;6794;735000
2021;6480;556;65;5;24;7090;768000
2022;6607;568;67;2;30;7374;821000
2023;6782;565;72;3;31;7453;813000
2024;6747;549;59;3;35;7393;813000
