12613-02-02: Gestorbene nach Geschlecht, Nationalität und Altersgruppen
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Gestorbene;Gestorbene;Gestorbene;Gestorbene;Gestorbene
;;;;insgesamt;insgesamt;insgesamt;insgesamt;insgesamt
;;;;insgesamt;männlich;weiblich;Deutsche;Ausländer
04;Land Bremen;2023;unter 1;31;20;11;21;10
04;Land Bremen;2023;1-15;18;9;9;13;5
04;Land Bremen;2023;15-25;22;11;11;19;3
04;Land Bremen;2023;25-30;16;8;8;9;7
04;Land Bremen;2023;30-35;30;20;10;21;9
04;Land Bremen;2023;35-40;56;40;16;46;10
04;Land Bremen;2023;40-45;82;58;24;66;16
04;Land Bremen;2023;45-50;102;69;33;79;23
04;Land Bremen;2023;50-55;172;95;77;141;31
04;Land Bremen;2023;55-60;357;226;131;304;53
04;Land Bremen;2023;60-65;502;318;184;461;41
04;Land Bremen;2023;65-70;631;385;246;581;50
04;Land Bremen;2023;70-75;821;489;332;769;52
04;Land Bremen;2023;75-80;1020;564;456;935;85
04;Land Bremen;2023;80-85;1549;822;727;1473;76
04;Land Bremen;2023;85-90;1629;749;880;1581;48
04;Land Bremen;2023;90-95;990;336;654;973;17
04;Land Bremen;2023;95 ond mehr;500;116;384;494;6
04;Land Bremen;2023;Insgesamt;8528;4335;4193;7986;542
04011;Stadt Bremen;2023;unter 1;22;14;8;15;7
04011;Stadt Bremen;2023;1-15;16;7;9;11;5
04011;Stadt Bremen;2023;15-25;21;10;11;18;3
04011;Stadt Bremen;2023;25-30;11;6;5;5;6
04011;Stadt Bremen;2023;30-35;25;17;8;17;8
04011;Stadt Bremen;2023;35-40;46;33;13;38;8
04011;Stadt Bremen;2023;40-45;60;42;18;47;13
04011;Stadt Bremen;2023;45-50;73;51;22;55;18
04011;Stadt Bremen;2023;50-55;137;74;63;111;26
04011;Stadt Bremen;2023;55-60;284;179;105;239;45
04011;Stadt Bremen;2023;60-65;393;248;145;362;31
04011;Stadt Bremen;2023;65-70;475;284;191;433;42
04011;Stadt Bremen;2023;70-75;652;378;274;607;45
04011;Stadt Bremen;2023;75-80;809;430;379;743;66
04011;Stadt Bremen;2023;80-85;1261;654;607;1199;62
04011;Stadt Bremen;2023;85-90;1352;608;744;1311;41
04011;Stadt Bremen;2023;90-95;829;282;547;815;14
04011;Stadt Bremen;2023;95 ond mehr;443;103;340;437;6
04011;Stadt Bremen;2023;Insgesamt;6909;3420;3489;6463;446
040111;Mitte (Stadtbezirk);2023;unter 1;1;1;-;1;-
040111;Mitte (Stadtbezirk);2023;1-15;-;-;-;-;-
040111;Mitte (Stadtbezirk);2023;15-25;-;-;-;-;-
040111;Mitte (Stadtbezirk);2023;25-30;1;1;-;-;1
