GENESIS-Tabelle: 31111-03-02-5-B
Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume  - Jahressumme - regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
Jahr: 2008;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01001000;Flensburg, kreisfreie Stadt;165;12;32;30;91
01002000;Kiel, kreisfreie Stadt, Landeshauptstadt;256;16;76;25;139
01003000;Lübeck, kreisfreie Stadt, Hansestadt;702;101;244;139;218
01004000;Neumünster, kreisfreie Stadt;125;45;22;16;42
01051001;Albersdorf;2;0;0;-1;3
01051002;Arkebek;-;0;0;0;0
01051003;Averlak;-;0;0;0;0
01051004;Bargenstedt;1;0;0;-1;2
01051005;Barkenholm;-;0;0;0;0
01051006;Barlt;1;0;0;0;1
01051008;Bergewöhrden;-;0;0;0;0
01051010;Brickeln;-;0;0;0;0
01051011;Brunsbüttel, Stadt;12;4;0;0;8
01051012;Buchholz;1;1;0;-1;1
01051013;Büsum;96;25;54;6;11
01051014;Büsumer Deichhausen;1;0;0;0;1
01051015;Bunsoh;-;0;1;-2;1
01051016;Burg (Dithmarschen);3;0;0;0;3
01051017;Busenwurth;-;0;0;0;0
01051019;Dellstedt;-;0;0;-1;1
01051020;Delve;-;0;-1;0;1
01051021;Diekhusen-Fahrstedt;2;0;0;0;2
01051022;Dingen;1;0;0;0;1
01051023;Dörpling;2;0;0;0;2
01051024;Eddelak;1;0;0;-1;2
01051026;Eggstedt;-;0;0;0;0
01051027;Elpersbüttel;2;0;0;0;2
01051028;Epenwöhrden;2;0;0;1;1
01051030;Fedderingen;2;0;0;0;2
01051032;Frestedt;-;0;0;0;0
01051033;Friedrichsgabekoog;-;0;0;0;0
01051034;Friedrichskoog;5;1;2;-1;3
01051035;Gaushorn;-;0;0;0;0
01051036;Glüsing;-;0;0;0;0
01051037;Großenrade;-;-1;0;0;1
01051038;Groven;1;1;0;0;0
01051039;Gudendorf;2;0;0;1;1
01051040;Hägen;-;0;0;0;0
01051043;Hedwigenkoog;2;0;1;0;1
01051044;Heide, Stadt;33;2;4;17;10
01051045;Hellschen-Heringsand-Unterschaar;-;0;0;0;0
01051046;Helse;2;0;0;0;2
01051047;Hemme;-;0;0;0;0
01051048;Hemmingstedt;3;0;0;1;2
01051049;Hennstedt;3;0;0;0;3
01051050;Hillgroven;1;0;0;0;1
01051051;Hochdonn;-;0;0;0;0
01051052;Hövede;-;0;0;0;0
01051053;Hollingstedt;-;0;0;0;0
01051054;Immenstedt;-;0;0;0;0
01051057;Kaiser-Wilhelm-Koog;1;0;0;0;1
01051058;Karolinenkoog;-;0;0;0;0
01051060;Kleve;-;0;0;0;0
01051061;Krempel;2;0;0;-1;3
01051062;Kronprinzenkoog;2;0;0;0;2
01051063;Krumstedt;2;0;0;-1;3
01051064;Kuden;-;0;0;0;0
01051065;Lehe;3;0;0;0;3
01051067;Lieth;-;0;0;0;0
01051068;Linden;1;0;0;0;1
01051069;Lohe-Rickelshof;9;0;0;3;6
01051071;Lunden;-;0;0;-2;2
01051072;Marne, Stadt;2;0;0;2;0
01051073;Marnerdeich;1;0;0;0;1
01051074;Meldorf, Stadt;10;2;0;2;6
01051075;Neuenkirchen;2;0;0;0;2
01051076;Neufeld;-;0;-1;0;1
01051077;Neufelderkoog;-;0;0;0;0
01051078;Nindorf;-;0;0;-1;1
01051079;Norddeich;-;0;0;0;0
01051080;Norderheistedt;-;0;0;0;0
01051081;Norderwöhrden;-;0;0;0;0
01051082;Nordhastedt;2;0;-2;-1;5
01051083;Odderade;1;0;0;0;1
01051084;Oesterdeichstrich;-;0;0;0;0
01051085;Offenbüttel;-;0;0;0;0
01051086;Osterrade;-;0;0;0;0
01051087;Ostrohe;7;0;0;1;6
01051088;Pahlen;1;0;1;0;0
01051089;Quickborn;-;0;0;0;0
01051090;Ramhusen;1;0;1;0;0
01051092;Rehm-Flehde-Bargen;-;0;0;0;0
01051093;Reinsbüttel;-;0;0;0;0
01051096;Sankt Annen;-;0;0;0;0
01051097;Sankt Michaelisdonn;6;0;0;4;2
01051098;Sarzbüttel;2;0;0;0;2
01051099;Schafstedt;2;0;0;0;2
01051100;Schalkholz;-;0;0;0;0
01051102;Schlichting;1;0;0;1;0
01051103;Schmedeswurth;-;0;0;0;0
01051104;Schrum;-;0;0;0;0
01051105;Schülp;-;0;0;0;0
01051107;Stelle-Wittenwurth;1;0;0;0;1
01051108;Strübbel;1;0;0;0;1
01051109;Süderdeich;-;0;0;0;0
01051110;Süderhastedt;5;1;1;2;1
01051111;Süderheistedt;-;0;-1;0;1
01051113;Wöhrden;3;0;0;0;3
01051114;Tellingstedt;3;0;0;-1;4
01051117;Tielenhemme;1;0;0;0;1
01051118;Trennewurth;-;0;0;0;0
01051119;Volsemenhusen;1;0;0;0;1
01051120;Wallen;-;0;0;0;0
01051121;Warwerort;-;0;0;0;0
01051122;Weddingstedt;4;0;2;-1;3
01051125;Welmbüttel;1;0;0;1;0
01051126;Wennbüttel;-;0;0;0;0
01051127;Wesselburen, Stadt;-;0;0;0;0
01051128;Wesselburener Deichhausen;3;0;1;1;1
01051129;Wesselburenerkoog;6;1;0;1;4
01051130;Wesseln;5;0;0;0;5
01051131;Westerborstel;1;0;0;0;1
01051132;Westerdeichstrich;-;-1;0;1;0
01051133;Wiemerstedt;-;0;0;0;0
01051134;Windbergen;1;0;0;1;0
01051135;Wolmersdorf;1;0;0;0;1
01051136;Wrohm;-;0;0;0;0
01051137;Nordermeldorf;1;0;0;1;0
01051138;Tensbüttel-Röst;-;0;0;-1;1
01051139;Süderdorf;-;0;0;0;0
01051140;Oesterwurth;1;0;0;1;0
01051141;Süderheistedt;-;-;-;-;-
01053001;Albsfelde;-;0;0;0;0
