Stadtbezirk;Stadtteil;Stadtteilname;Jahr;INSGESAMT;HH_EINE_PERSON;HH_EINE_PERSON_25B69;HH_MIT_KINDERN;HH_MIT_3OM_KINDERN;HH_ALLEINERZIEHEND;BEVOELKERUNG_IN_HH
1;1;Stadtkern;2023;2603;1715;1319;337;79;107;4269
1;2;Ostviertel;2023;4008;2493;1880;704;148;261;7007
1;3;Nordviertel;2023;4532;2644;2006;873;225;257;8369
1;4;Westviertel;2023;1746;1057;781;217;37;56;2889
1;5;Südviertel;2023;7803;5050;3990;988;130;247;12407
1;6;Südostviertel;2023;7664;4811;3646;1268;305;385;13247
1;11;Huttrop;2023;8146;4206;2814;1496;250;389;15077
1;36;Frillendorf;2023;2815;1292;920;599;109;155;5598
2;10;Rüttenscheid;2023;18640;11225;8303;2566;181;548;30463
2;12;Rellinghausen;2023;1931;914;488;293;26;67;3563
2;13;Bergerhausen;2023;6378;3295;2233;1019;107;212;11439
2;14;Stadtwald;2023;5102;2374;1503;895;106;152;9663
3;7;Altendorf;2023;12474;7048;5296;2486;624;831;23341
3;8;Frohnhausen;2023;19235;11371;8416;3000;487;1017;32953
3;9;Holsterhausen;2023;16461;10600;7894;2208;250;655;26151
3;15;Fulerum;2023;1702;738;460;314;18;56;3219
3;28;Haarzopf;2023;3377;1348;780;644;68;84;6806
3;41;Margarethenhöhe;2023;3712;1798;1115;666;65;159;6884
4;16;Schönebeck;2023;4924;2137;1354;845;90;153;9559
4;17;Bedingrade;2023;6399;2984;1974;990;108;241;11823
4;18;Frintrop;2023;4586;2266;1558;783;105;232;8477
4;19;Dellwig;2023;4685;2125;1472;942;142;299;9063
4;20;Gerschede;2023;4000;1773;1239;768;100;189;7808
4;21;Borbeck-Mitte;2023;7328;3774;2524;1242;170;360;13382
4;22;Bochold;2023;9168;4483;2998;1928;420;621;17999
4;23;Bergeborbeck;2023;2189;1043;759;497;83;186;4281
5;24;Altenessen-Nord;2023;8057;3441;2366;1790;324;496;16888
5;25;Altenessen-Süd;2023;14058;7373;5220;2849;640;850;27151
5;40;Karnap;2023;3831;1647;1155;842;184;242;7983
5;50;Vogelheim;2023;2815;1152;841;743;123;220;6007
6;37;Schonnebeck;2023;5587;2300;1551;1303;223;374;11667
6;38;Stoppenberg;2023;7951;3412;2349;1729;255;482;16244
6;39;Katernberg;2023;10978;4524;3070;2788;624;828;24045
7;34;Steele;2023;8754;4438;2998;1529;252;424;16318
7;35;Kray;2023;10193;5116;3719;2097;400;724;19691
7;45;Freisenbruch;2023;8138;3507;2224;1806;324;576;16496
7;46;Horst;2023;5038;1865;1236;1219;272;285;11104
7;47;Leithe;2023;3224;1367;904;660;83;132;6512
8;31;Heisingen;2023;6479;2678;1614;1213;100;192;12724
8;32;Kupferdreh;2023;5706;2517;1670;1161;129;225;11268
8;33;Byfang;2023;977;340;203;164;19;16;2017
8;43;Überruhr-Hinsel;2023;3944;1693;1003;688;69;159;7604
8;44;Überruhr-Holthausen;2023;3948;1632;1003;785;88;171;7879
8;48;Burgaltendorf;2023;4748;1935;1221;887;80;139;9423
9;26;Bredeney;2023;5913;2780;1770;1033;102;189;11170
9;27;Schuir;2023;657;242;146;152;20;19;1409
9;29;Werden;2023;5403;2913;1783;775;84;155;9504
9;30;Heidhausen;2023;3141;1215;738;670;75;83;6604
9;42;Fischlaken;2023;2221;935;575;431;38;73;4393
9;49;Kettwig;2023;9542;4364;2724;1627;144;323;18000
1;1;Stadtkern;2022;2549;1694;1273;344;77;102;4248
1;2;Ostviertel;2022;4003;2476;1869;682;159;250;7004
1;3;Nordviertel;2022;4470;2623;1993;847;218;247;8215
1;4;Westviertel;2022;1642;967;715;213;38;58;2748
1;5;Südviertel;2022;7752;5038;3974;951;134;244;12262
1;6;Südostviertel;2022;7606;4791;3580;1243;296;374;13062
1;11;Huttrop;2022;8065;4126;2736;1480;220;373;14921
1;36;Frillendorf;2022;2785;1256;902;592;99;153;5590
2;10;Rüttenscheid;2022;18366;11078;8197;2482;185;553;29896
2;12;Rellinghausen;2022;1910;907;486;290;26;59;3546
2;13;Bergerhausen;2022;6354;3253;2197;1027;117;203;11443
2;14;Stadtwald;2022;5106;2352;1508;905;108;156;9700
3;7;Altendorf;2022;12328;6992;5229;2462;620;819;23039
3;8;Frohnhausen;2022;19050;11231;8306;2948;463;1000;32639
3;9;Holsterhausen;2022;16399;10542;7793;2175;252;648;25983
3;15;Fulerum;2022;1703;717;448;313;20;53;3259
3;28;Haarzopf;2022;3381;1325;780;646;71;83;6850
3;41;Margarethenhöhe;2022;3733;1814;1143;663;69;163;6924
4;16;Schönebeck;2022;4937;2129;1355;848;84;150;9612
4;17;Bedingrade;2022;6393;2969;1964;992;112;223;11820
4;18;Frintrop;2022;4547;2227;1522;772;101;231;8400
4;19;Dellwig;2022;4692;2135;1472;944;138;319;9043
4;20;Gerschede;2022;3987;1760;1221;756;95;178;7786
4;21;Borbeck-Mitte;2022;7266;3732;2488;1224;167;343;13317
4;22;Bochold;2022;9099;4435;2986;1883;405;600;17807
4;23;Bergeborbeck;2022;2216;1042;769;501;78;184;4344
5;24;Altenessen-Nord;2022;8004;3402;2352;1777;326;468;16836
5;25;Altenessen-Süd;2022;13936;7292;5144;2842;603;840;26877
5;40;Karnap;2022;3845;1669;1181;835;185;241;7972
5;50;Vogelheim;2022;2815;1160;820;720;112;214;5951
6;37;Schonnebeck;2022;5557;2303;1592;1271;223;350;11577
6;38;Stoppenberg;2022;7938;3382;2339;1754;252;500;16229
6;39;Katernberg;2022;10984;4529;3096;2777;611;812;24032
7;34;Steele;2022;8777;4453;2975;1514;259;417;16301
7;35;Kray;2022;10120;5042;3635;2064;403;682;19650
7;45;Freisenbruch;2022;8130;3483;2184;1802;323;581;16402
7;46;Horst;2022;5052;1845;1220;1221;267;279;11165
7;47;Leithe;2022;3215;1343;882;654;80;133;6488
8;31;Heisingen;2022;6506;2664;1608;1216;96;197;12801
