Name;Straße;Hausnummer;Postleitzahl;Ort;Bemerkung;x;y
Oldenburgisches Staatstheater;Theaterwall;19;26122;Oldenburg;"Anzahl der AEDs: 2<br/><br/>Ein Defibrillator befindet sich im Vorderhaus. Dieser ist aber für betriebsfremde Personen
nur erreichbar, wenn das Haus geöffnet ist. Das heißt, wenn die Kasse geöffnet hat bzw. 
Vorstellungsbetrieb ist.<br/><br/>Der zweite Defibrillator befindet sich im Hinterhaus. Auch dieser ist nur zugänglich, wenn 
die Pforte besetzt ist bzw. für Personen, die eine Zugangsberechtigung für das Gebäude mittels Transponder haben.
";447156,1043;5888044,002
Oldenburger Turnerbund (OTB);Haareneschstraße;64;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Er ist zugänglich, wenn in der Halle Schul- oder Vereinssport stattfindet.<br/>Außerhalb der Schulferien in der Regel montags bis freitags von 8 bis 22 Uhr, an Wochenenden abhängig von der Belegung.<br/><br/>Standort:<br/>Regieraum 2;446247,2535;5888678,651
Öffentliche Versicherungen Oldenburg;Staugraben;11;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 08:00 - 16:30 Uhr und<br/>Fr: 08:00 - 15:30 Uhr<br/><br/>Standort: Empfang;447533,7158;5888477,044
Verwaltungsgericht - Nebenstelle;Kasinoplatz;1;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. bis Do.: 8:00 - 15:30 Uhr<br/>Fr.: 8:00 - 12:00 Uhr<br/><br/>Standort: Zimmer 6;447424,1104;5887899,374
Agentur für Arbeit Oldenburg-Wilhelmshaven;Stau;70;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Montag bis Donnerstag: 8 bis 18 Uhr<br/>Freitag: 8 bis 14 Uhr<br/><br/>Standort: Haupteingang/Foyer;448118,9251;5888212,603
Zahnarztpraxis Dr. Ulrike Stüben;Hauptstraße;111;26131;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo-Fr: 7:30 bis 12:15 Uhr<br/>Mo,  Di,  Do: 14:30 bis 18:15 Uhr<br/>Mi: 14:30 bis 16.00 Uhr;445691,8971;5887433,712
Öffentliche Versicherungen Oldenburg;Moslestraße;1;26122;Oldenburg;Hinweis:<br/>Der AED ist nicht frei zugänglich.<br/>Personen, die den AED benötigen, müssen klingeln.<br/><br/>In der Regel sind die Mitarbeiter erreichbar von:<br/>Mo. - Do.: 08:00 - 16:30 Uhr und Fr.: 08:00 - 15:30 Uhr;447544,5027;5888568,941
Schlosshöfe (Erdgeschoss);Schloßplatz;3;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Sa.: 8:00 - 21:00 Uhr<br/><br/>Standort: Erdgeschoss, neben dem Shop immergrün in der Foodzone;447558,3992;5887962,579
Bildungswerk der Niedersächsischen Wirtschaft gemeinnützige GmbH (BNW);Ankerstraße;21;26122;Oldenburg;Standort:<br/>Eingang Güterstraße, EG Raum E09<br/><br/>Der AED ist in der Regel erreichbar:<br/>Mo. bis Do. von 08:00 bis 16:00 Uhr und Fr. von 08:00 bis 13:00 Uhr;448118,5636;5888368,917
Bürgerfelder Turnerbund;Alexanderstraße;207;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 8 -21 Uhr sowie<br/>am Wochenende von 9 - 18 Uhr,<br/>abhängig von Veranstaltungen, Spieltagen,usw. ist oftmals länger geöffnet<br/><br/>Standort: neben dem Treppenaufgang;446882,2134;5890477,632
