FID,geom,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,building,name,type,wheelchair,osm_id,osm_type,editlink,tutoriallink,operator,website,check_date,social_facility,source,source:geometry,source:housenumber,email,fax,phone,addr:housename,building:levels,roof:colour,roof:shape,description,social_facility:for,addr:suburb,note,operator:type,wikidata,opening_hours,contact:email,contact:fax,contact:phone,contact:website,contact:facebook
OSM_MRN_amenity_nursing_home_4326_Point.1,POINT (8.988206779032257 49.46605913870967),Eberbach,DE,9,69412,Schafwiesenweg,nursing_home,yes,Lebensrad - Haus der Pflege,multipolygon,yes,1821513,relation,https://www.openstreetmap.org/relation/1821513,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.2,POINT (8.986434375 49.3791156875),,,,,,nursing_home,yes,Haus Morgensonne,,,27119365,way,https://www.openstreetmap.org/way/27119365,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.3,POINT (8.260638575 49.04940361),Wörth am Rhein,DE,30,76744,Hanns-Martin-Schleyer-Straße,nursing_home,yes,Pfarrer-Johann-Schiller-Haus,,,62106229,way,https://www.openstreetmap.org/way/62106229,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.4,POINT (8.260902836842105 49.36437401578948),Haßloch,DE,33,67454,Heinrich-Brauch-Straße,nursing_home,yes,Theodor-Friedrich-Haus Alten- und Pflegeheim,,yes,111669903,way,https://www.openstreetmap.org/way/111669903,https://learnosm.org/de/beginner/,Landesverein für Innere Mission in der Pfalz e.V.,http://www.lvim-pfalz.de/index.php?SiteID=6&NodeID=6&SID={SESSIONID}&Lang=DE,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.5,POINT (8.2876548 49.15742937857142),Rülzheim,DE,8,76761,Am Deutschordensplatz,nursing_home,yes,Braun'sche Stiftung,,,115880730,way,https://www.openstreetmap.org/way/115880730,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.6,POINT (8.776152091666667 49.35114302499999),Bammental,,15,69245,Reilsheimer Straße,nursing_home,yes,Anna-Scherer-Haus,,yes,126572329,way,https://www.openstreetmap.org/way/126572329,https://learnosm.org/de/beginner/,Paritätische Sozialdienste gGmbH,,2024-09-30,nursing_home,survey;local knowledge,HiRes aerial imagery,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.7,POINT (8.776860261904764 49.351095361904775),Bammental,DE,2,69245,Reilsheimer Mühlweg,nursing_home,yes,Anna-Scherer-Haus,,,126572348,way,https://www.openstreetmap.org/way/126572348,https://learnosm.org/de/beginner/,,,,,survey,HiRes aerial imagery,"Datenquelle: LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.8,POINT (8.551867883333331 49.31878357222224),Hockenheim,DE,8,68766,Rathausstraße,nursing_home,yes,Pflegezentrum Hockenheim,,yes,126838644,way,https://www.openstreetmap.org/way/126838644,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.9,POINT (8.5173748 49.511764937500004),Mannheim,DE,8-10,68309,Unionstraße,nursing_home,yes,UnionsHaus - ev. Alten- und Pflegeheim,,,145944212,way,https://www.openstreetmap.org/way/145944212,https://learnosm.org/de/beginner/,,http://www.unionshaus.de/,2025-04-24,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.10,POINT (8.461920436363634 49.489866490909094),,,,,,nursing_home,,Katholisches Bürgerhospital,,,151651653,way,https://www.openstreetmap.org/way/151651653,https://learnosm.org/de/beginner/,,https://www.caritas.de/adressen/kathbuergerhospitalmannheim/86573/,,,,,,kath.buergerhospital@online.de,+49 621 1565357,+49 621 22578,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.11,POINT (8.615777875 49.2660302),,,,,,nursing_home,,Caritas-Seniorenzentrum St. Leon-Rot,,,178354740,way,https://www.openstreetmap.org/way/178354740,https://learnosm.org/de/beginner/,Caritas,,2025-05-10,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.12,POINT (8.4716024125 49.4737542875),Mannheim,DE,83,68163,Lindenhofstraße,nursing_home,yes,Avendi Mobil Ambulanter Pflegedienst,,,210621725,way,https://www.openstreetmap.org/way/210621725,https://learnosm.org/de/beginner/,Avendi,,2024-10-24,,,,,,,,Lanzcarré,7,#808080,flat,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.13,POINT (8.873826437931033 49.33617582068964),Spechbach,DE,1,74937,Wintersbrunnenhof,nursing_home,yes,Haus Waldblick,,,213548300,way,https://www.openstreetmap.org/way/213548300,https://learnosm.org/de/beginner/,,http://www.pflegeheim-spechbach.de,,group_home,,"Datenquelle: LGL, www.lgl-bw.de","Datenquelle: LGL, www.lgl-bw.de",,,,,,,,Alten- und Pflegeheim,senior,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.14,POINT (7.998688166666667 49.103504862962964),Bad Bergzabern,,5,76887,Herzog-Wolfgang-Straße,nursing_home,yes,Ökumenische Sozialstation-Ambulante Krankenpflege,,,226279216,way,https://www.openstreetmap.org/way/226279216,https://learnosm.org/de/beginner/,Caritasverband für die Diözese Speyer e.V.,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.15,POINT (8.493791333333334 49.5092998),Mannheim,DE,21,68167,Friedrich-Traumann-Straße,nursing_home,yes,avendi Service-Wohnen & Pflege CentroVerde,,,235454007,way,https://www.openstreetmap.org/way/235454007,https://learnosm.org/de/beginner/,Avendi,,,,Bing; survey,,,,,,,4,,flat,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.16,POINT (8.913887865217392 49.29904367826088),Waibstadt,DE,62,74915,Lange Straße,nursing_home,yes,Johanniter-Haus,,,239847402,way,https://www.openstreetmap.org/way/239847402,https://learnosm.org/de/beginner/,,https://www.johanniter.de/einrichtungen/altenpflegeeinrichtungen/waibstadt/,2025-06-09,,bing,,,,+49 7263 6058511,+49 7263 605850,,,,,,senior,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.17,POINT (8.674066731249999 49.28044340625),Wiesloch,,3,69168,Zeisigweg,nursing_home,yes,Haus Blumeneck,,yes,867637061,way,https://www.openstreetmap.org/way/867637061,https://learnosm.org/de/beginner/,Haus Blumeneck GmbH,,,group_home,"https://www.rnz.de/nachrichten/wiesloch_artikel,-Wiesloch-Wiesloch-Seniorenpflegezentrum-in-Frauenweiler-feierte-Richtfest-_arid,234802.html;local knowledge",,,,,,,1,,flat,,senior,Frauenweiler,"Seniorenpflegezentrum, Altenpflegeheim, Tagespflege, Ergotherapiepraxis, Physiotherapiepraxis",business,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.18,POINT (8.7458721 49.6068489),Mörlenbach,DE,17,69509,Groß-Breitenbach,nursing_home,,Haus Anna,,,1751717999,node,https://www.openstreetmap.org/node/1751717999,https://learnosm.org/de/beginner/,Elke Beutler,http://www.hausanna-seniorenheim.de/,,,,,,seniorenheim_haus_anna@yahoo.de,+49-6209-3505,+49 6209 257,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.19,POINT (9.3644825 49.5868237),,,,,,nursing_home,,Geriatriezentrum St. Josef,,,1776236909,node,https://www.openstreetmap.org/node/1776236909,https://learnosm.org/de/beginner/,,https://www.khv-ha-wa.de/geriatriezentrum/,,,,,,,,,,,,,,,,,,Q103844379,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.20,POINT (8.7850357 49.3934275),,,,,,nursing_home,,Neckargemünder Hof,,,2147483647,node,https://www.openstreetmap.org/node/2526031698,https://learnosm.org/de/beginner/,,https://www.neckargemuender-hof.de/,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.21,POINT (8.6530094 49.4140968),Heidelberg,,4,69123,Ludwig-Guttmann-Straße,nursing_home,,SRH Pflege Heidelberg Junges Wohnen,,,2147483647,node,https://www.openstreetmap.org/node/2793896116,https://learnosm.org/de/beginner/,,https://www.srh-pflege.de/,,,,,,,,+49 6221 882550,,,,,,,,,,,24/7,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.22,POINT (8.6954505 49.3218168),,,,,,nursing_home,,Haus Rheinblick,,,2147483647,node,https://www.openstreetmap.org/node/3337437951,https://learnosm.org/de/beginner/,,,2024-08-13,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.23,POINT (8.9796147 49.3692505),,,,,,nursing_home,,SenioPlus,,,2147483647,node,https://www.openstreetmap.org/node/5018250031,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.24,POINT (8.4699926 49.4718113),Mannheim,,71-73,68163,Meerfeldstraße,nursing_home,,Am Lanzgarten,,,2147483647,node,https://www.openstreetmap.org/node/5689647349,https://learnosm.org/de/beginner/,Avendi,,2024-12-21,,,,,,,,,,,,,,,,private,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.25,POINT (8.5433862 49.4896064),Mannheim,DE,100,68259,Theodor-Storm-Straße,nursing_home,,Theodor-Fliedner-Haus,,,2147483647,node,https://www.openstreetmap.org/node/9963878581,https://learnosm.org/de/beginner/,,https://www.theodor-fliedner-haus.de/,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_nursing_home_4326_Point.26,POINT (8.5328203 49.4087534),Brühl,DE,25,68782,Mannheimer Landstraße,nursing_home,,B+O Seniorenzentrum Brühl,,yes,2147483647,node,https://www.openstreetmap.org/node/10313409423,https://learnosm.org/de/beginner/,"Klaus Oldewurtel, Jürgen Oldewurtel",,,,,,,,,,,,,,,,,,,,,kontakt@bo-seniorenzentrum.de,+49 6202 708 111,+49 6202 7080,https://www.bo-seniorenzentrum.de,
OSM_MRN_amenity_nursing_home_4326_Point.27,POINT (8.533564 49.4084556),Brühl,DE,23,68782,Mannheimer Landstraße,nursing_home,,Seniorenwohnen Schütte-Lanz-Park,,yes,2147483647,node,https://www.openstreetmap.org/node/10313415857,https://learnosm.org/de/beginner/,Dr. Daniela Kirsch,,,,,,,,,,,,,,,,,,,,,info@seniorenwohnen-bruehl.de,+49 6202 858 899,+49 6202 85809,https://www.seniorenwohnen-bruehl.de,https://www.facebook.com/wohnenundpflegefuersenioren
