FID,geom,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,shop,toilets:wheelchair,wheelchair,osm_id,osm_type,editlink,tutoriallink,building,official_name,source:addr,source:geometry,collection_times,opening_hours,operator,operator:wikidata,brand,brand:wikidata,brand:wikipedia,operator:wikipedia,source,heritage,image,check_date,building:flats,check_date:opening_hours,branch,ref,phone,contact:website,parcel_locker:type,parcel_mail_in,parcel_pickup,surveillance,website,postal_code,not:operator:wikidata,note,created_by,description,email,atm,post_office:type,alt_name,short_name,level,post_office:brand,post_office:letter,post_office:parcel_from,post_office:service_provider,post_office:stamps,ref:deutsche_post,lottery,tenant,fax,update,type,contact:email,payment:cash,payment:credit_cards,payment:debit_cards,wheelchair:description,opening_hours:covid19,indoor,disused:shop,old_name,old_phone,contact:phone,lastcheck,post_office,toys:model_railway,last_check,payment:coins,payment:maestro,payment:notes,internet_access,payment:girocard,object:city,object:country,object:housenumber,object:street,survey:date,fixme,object:postcode,ref:shop:num,refrigerated,colour,packstation_type,addr:floor,dispensing,app_operated,display_operated,label_printer,name:de,start_date,payment:postcard
OSM_MRN_amenity_post_office_4326_Point.1,POINT (8.4486672 49.662193),Bürstadt,DE,1,68642,Frankensteinstraße,Bobstadt,post_office,Blodt,stationery,no,yes,26914143,node,https://www.openstreetmap.org/node/26914143,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.2,POINT (9.139857333333334 49.3491602),Mosbach,DE,7,74821,Neckarelzer Straße,,post_office,LRA NOK Gebäude VIII,,,yes,38991224,way,https://www.openstreetmap.org/way/38991224,https://learnosm.org/de/beginner/,yes,Landratsamt Neckar-Odenwald-Kreis,"LGL, www.lgl-bw.de",Bing 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.3,POINT (8.2905444 49.4819915),,,,,,,post_office,"A, Vollmer",newsagent,,no,85989985,node,https://www.openstreetmap.org/node/85989985,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.4,POINT (8.6549181 49.54813782857143),Weinheim,DE,2,69469,Cavaillonstraße,,post_office,Deutsche Post,,,limited,88194556,way,https://www.openstreetmap.org/way/88194556,https://learnosm.org/de/beginner/,yes,,,,"Mo-Fr 16:00,18:00; Sa 12:45; Su 11:30","Mo-Fr 09:00-12:30,14:00-18:00; Sa 09:00-13:00",Deutsche Post,Q157645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.5,POINT (8.615556441666666 49.68026414166667),Bensheim,DE,28,64625,Schwanheimer Straße,,post_office,Deutsche Post,,,yes,104159366,way,https://www.openstreetmap.org/way/104159366,https://learnosm.org/de/beginner/,yes,,,,,Mo-Fr 08:00-18:30; Sa 08:00-12:30,Deutsche Post,Q157645,Deutsche Post,Q157645,en:Deutsche Post,de:Deutsche Post AG,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.6,POINT (9.32471696 49.52419995999999),Buchen (Odenwald),DE,21,74722,Walldürner Straße,,post_office,Postfiliale 598,,,yes,107828927,way,https://www.openstreetmap.org/way/107828927,https://learnosm.org/de/beginner/,yes,,,,,"Mo-Tu, Th-Fr 09:30-12:30, 14:00-17:30; Sa-Su 09:00-12:00; We 09:30-12:30",,,,,,,,yes,File:Buchen_(Odenwald)_Postamt_2710.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.7,POINT (8.874828039999999 49.25132586),Sinsheim,DE,16,74889,Muthstraße,,post_office,Deutsche Post,,,limited,108130379,way,https://www.openstreetmap.org/way/108130379,https://learnosm.org/de/beginner/,yes,,,Bing 2012,,,Deutsche Post,Q157645,,,,,,,,2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.8,POINT (9.205382019999998 49.53284762),Mudau,DE,10/1,69427,Kirchbrücke,,post_office,Deutsche Post Filiale 533,,,,117543825,way,https://www.openstreetmap.org/way/117543825,https://learnosm.org/de/beginner/,yes,,,,,"Mo-Sa 09:30-12:30, Mo,Tu,Th,Fr 15:00-17:00",Deutsche Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.9,POINT (8.638226788235293 49.642407535294126),Heppenheim,DE,1,64646,Ernst-Schneider-Straße,,post_office,Deutsche Post,,,no,230991279,way,https://www.openstreetmap.org/way/230991279,https://learnosm.org/de/beginner/,commercial,,,,,,Deutsche Post,Q157645,Deutsche Post,Q157645,en:Deutsche Post,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.10,POINT (8.3712371 49.218392),Germersheim,DE,4,76726,Sandstraße,,post_office,Postamt,,,no,252581310,node,https://www.openstreetmap.org/node/252581310,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-12:30,14:00-18:00; Sa 09:00-12:00",,,,,,,,,,,,2023-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
