FID,geom,amenity,operator,operator:wikidata,osm_id,osm_type,editlink,tutoriallink,payment:coins,created_by,note,check_date,brand,brand:wikidata,fee,indoor,covered,model,payment:credit_cards,payment:notes,payment:telephone_cards,payment:cash,source:position,ref,ref2,source,fixme,internet_access,internet_access:fee,internet_access:ssid,brand:wikipedia,operator:wikipedia,payment:debit_cards,booth,payment:american_express,payment:diners_club,payment:jcb,payment:mastercard,payment:others,payment:visa,ref_name,description,sms,video,shelter,payment:electronic_purses,note:de,wheelchair,name,addr:street,designation,contact:phone,phone,lit,support,level,direction,tunnel,emergency,payment:calling_cards,payment:reverse_charge_calls,layer,internet_access:operator,payment:phonecard,colour,button_operated,callable,display
OSM_MRN_amenity_telephone_4326_Point.1,POINT (8.6755661 49.5534972),telephone,Deutsche Telekom AG,Q9396,16548172,node,https://www.openstreetmap.org/node/16548172,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.2,POINT (8.4792312 49.6034804),telephone,Deutsche Telekom,,27193270,node,https://www.openstreetmap.org/node/27193270,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.3,POINT (8.5592289 49.646734),telephone,,,27499281,node,https://www.openstreetmap.org/node/27499281,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.4,POINT (8.5676969 49.6472461),telephone,,,27702589,node,https://www.openstreetmap.org/node/27702589,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.5,POINT (8.4955204 49.6499561),telephone,,,27726765,node,https://www.openstreetmap.org/node/27726765,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.6,POINT (8.2491202 48.9874385),telephone,Deutsche Telekom AG,,28265271,node,https://www.openstreetmap.org/node/28265271,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.7,POINT (8.4570654 49.6890433),telephone,,,28341221,node,https://www.openstreetmap.org/node/28341221,https://learnosm.org/de/beginner/,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.8,POINT (8.4121392 49.6588533),telephone,,,28452695,node,https://www.openstreetmap.org/node/28452695,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.9,POINT (8.9289586 49.4109947),telephone,,,28835608,node,https://www.openstreetmap.org/node/28835608,https://learnosm.org/de/beginner/,,,T-Com Calling Card or SOS and Freecall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.10,POINT (8.2876364 49.0322125),telephone,Deutsche Telekom AG,,29018680,node,https://www.openstreetmap.org/node/29018680,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
