FID,geom,name,shop,osm_id,osm_type,editlink,tutoriallink,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,opening_hours,amenity,check_date,cuisine,heritage,historic,image,operator,phone,website,wheelchair,addr:suburb,source,internet_access,building:levels,fax,roof:shape,contact:email,contact:fax,contact:phone,contact:website,description,disused:opening_hours,diet:halal,diet:kosher,level,currency:eur,payment:credit_cards,payment:debit_cards,second_hand,stroller,surveillance,email,source:addr,source:geometry,building:colour,delivery:covid19,roof:colour,roof:levels,roof:material,takeaway:covid19,source:address,check_date:opening_hours,opening_hours:signed,toilets:wheelchair,building:part,indoor,wikidata,wheelchair:description,opening_hours:kitchen,old_name,old_website,wikimedia_commons,opening_hours:url,organic,lastcheck,last_check,contact:facebook,roof:height,payment:cash,butcher,information,tourism,source:date,ref:vatin,closed,note,mobile,website:orders,payment:cards
OSM_MRN_shop_butcher_4326_Point.1,POINT (8.2484903 49.01826),Landmetzgerei Kropp,butcher,29952172,node,https://www.openstreetmap.org/node/29952172,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.2,POINT (8.277263825 49.11935084166666),Metzgerei Böller,butcher,53771330,way,https://www.openstreetmap.org/way/53771330,https://learnosm.org/de/beginner/,Rheinzabern,DE,1,76764,Hoppelgasse,yes,"Mo-Fr 08:00-12:30, Mo,Tu,Th,Fr 14:30-18:00, Sa 07:30-12:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.3,POINT (8.117774449999999 49.245858000000005),Wendelin Herbst,butcher,103740657,way,https://www.openstreetmap.org/way/103740657,https://learnosm.org/de/beginner/,Roschbach,,2,76835,Walsheimer Straße,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.4,POINT (8.8594053 49.194568749999995),Rose,butcher,110976785,way,https://www.openstreetmap.org/way/110976785,https://learnosm.org/de/beginner/,Sinsheim,DE,11,74889,Am Zehnt,yes,,restaurant,2024-09-03,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.5,POINT (9.325981016666665 49.521555049999996),Metzgerei Herkert,butcher,112838314,way,https://www.openstreetmap.org/way/112838314,https://learnosm.org/de/beginner/,Buchen (Odenwald),DE,11,74722,Kellereistraße,yes,"Mo,Tu,Th,Fr 08:00-18:00; Sa 07:45-13:00; We 08:00-13:30",,,,yes,building,"File:Buchen (Odenwald), Kellereistraße 9 20170622 001.jpg",Ralf Herkert,+49 6281 8987,https://www.metzgerei-herkert.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.6,POINT (9.212254419999999 49.46287436),Rausch,butcher,112873538,way,https://www.openstreetmap.org/way/112873538,https://learnosm.org/de/beginner/,Limbach,DE,5,74838,Laudenberger Straße,yes,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.7,POINT (9.182124241666665 49.45465996666667),Landmetzgerei Rausch,butcher,113745101,way,https://www.openstreetmap.org/way/113745101,https://learnosm.org/de/beginner/,Limbach,DE,12,74838,Lindenstraße,yes,,,,,,,,,,https://landmetzgerei-rausch.de/,,Krumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.8,POINT (8.401733680000001 49.26527516),Morgenstern,butcher,119155364,way,https://www.openstreetmap.org/way/119155364,https://learnosm.org/de/beginner/,Römerberg,DE,26,67354,Holzgasse,yes,,,,,,,,,,,,Mechtersheim,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.9,POINT (9.2323926 49.425583525),Dörrich,butcher,123503351,way,https://www.openstreetmap.org/way/123503351,https://learnosm.org/de/beginner/,Elztal,,10,74834,Georgstraße,yes,,,,,,,,,,,no,Rittersbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.10,POINT (8.648665639999999 49.545147400000005),Metzgerei Knapp,butcher,137433499,way,https://www.openstreetmap.org/way/137433499,https://learnosm.org/de/beginner/,Weinheim,DE,1,69469,Ahornstraße,apartments,"Mo-Tu,Th-Fr 07:30-18:00; We 07:30-13:00; Sa 07:00-12:30; Su,PH off",,2024-10-22,,,,,,+49 6201 13513,https://www.metzgerei-knapp.com/,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
