"Zeit","Gebiet","Objekt","Produktgruppe","Produkt","Melder","Produzent","Verwendungszweck","Abnehmer","Bio/Konv","Einheit","Wert","Zahl"
"202504","Deutschland","Bestände","Hülsenfrüchte","Ackerbohne","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","27,045","27"
"202504","Deutschland","Bestände","Hülsenfrüchte","andere Hülsenfrüchte","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","8,677","9"
"202504","Deutschland","Bestände","Hülsenfrüchte","Futtererbse","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","84,797","85"
"202504","Deutschland","Bestände","Hülsenfrüchte","Hülsenfrüchte insgesamt","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","120,519","121"
"202504","Deutschland","Bestände","Ölnebenerzeugnisse","andere Ölsaaten","Ölmühlen","","","","","1.000 t","14,957","15"
"202504","Deutschland","Bestände","Ölnebenerzeugnisse","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t",".","0"
"202504","Deutschland","Bestände","Ölnebenerzeugnisse","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","49,86","50"
"202504","Deutschland","Bestände","Ölsaaten","andere Ölsaaten","Ölmühlen","","","","","1.000 t","161,726","162"
"202504","Deutschland","Bestände","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","401,51599999999996","402"
"202504","Deutschland","Bestände","Ölsaaten","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","239,79","240"
"202504","Deutschland","Bestände","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","611,869","612"
"202504","Deutschland","Bestände","pflanzliche Öle und Fette (Rohöl)","andere Ölsaaten","Ölmühlen","","","","","1.000 t",".","0"
"202504","Deutschland","Bestände","pflanzliche Öle und Fette (Rohöl)","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","108,523","109"
"202504","Deutschland","Bestände","pflanzliche Öle und Fette (Rohöl)","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","72,674","73"
"202504","Deutschland","Einkäufe","Hülsenfrüchte","Ackerbohne","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","2,242","2"
"202504","Deutschland","Einkäufe","Hülsenfrüchte","andere Hülsenfrüchte","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","0,689","1"
"202504","Deutschland","Einkäufe","Hülsenfrüchte","Futtererbse","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","3,4","3"
"202504","Deutschland","Einkäufe","Hülsenfrüchte","Hülsenfrüchte insgesamt","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","6,3309999999999995","6"
"202504","Deutschland","Einkäufe","Ölsaaten","andere Ölsaaten","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","3,571","4"
"202504","Deutschland","Einkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","88,995","89"
"202504","Deutschland","Herstellung","Margarineerzeugnisse, Speisefette","Margarine","Margarinehersteller","","","","","1.000 t","22,506","23"
"202504","Deutschland","Herstellung","Margarineerzeugnisse, Speisefette","Speisefette","Speisefetthersteller","","","","","1.000 t",".","0"
"202504","Deutschland","Herstellung","Ölnebenerzeugnisse","andere Ölsaaten","Ölmühlen","","","","","1.000 t","227,128","227"
"202504","Deutschland","Herstellung","Ölnebenerzeugnisse","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","695,4459999999999","695"
"202504","Deutschland","Herstellung","Ölnebenerzeugnisse","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","468,318","468"
"202504","Deutschland","Herstellung","pflanzliche Öle und Fette (Rohöl)","andere Ölsaaten","Ölmühlen","","","","","1.000 t","59,481","59"
"202504","Deutschland","Herstellung","pflanzliche Öle und Fette (Rohöl)","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","414,853","415"
"202504","Deutschland","Herstellung","pflanzliche Öle und Fette (Rohöl)","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","355,372","355"
"202504","Deutschland","Verarbeitung","Ölsaaten","andere Ölsaaten","Ölmühlen","","","","","1.000 t","294,57","295"
"202504","Deutschland","Verarbeitung","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","1110,671","1.111"
"202504","Deutschland","Verarbeitung","Ölsaaten","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","816,101","816"
"202504","Deutschland","Verkäufe","Ölnebenerzeugnisse","Extraktionsschrot aller Ölsaaten","Ölmühlen","","Ausland","","","1.000 t","175,53","176"
"202504","Deutschland","Verkäufe","Ölnebenerzeugnisse","Extraktionsschrot aller Ölsaaten","Ölmühlen","","Futterzwecke","","","1.000 t","174,839","175"
"202504","Deutschland","Verkäufe","Ölnebenerzeugnisse","Extraktionsschrot aller Ölsaaten","Ölmühlen","","Handel","","","1.000 t","82,022","82"
"202504","Deutschland","Verkäufe","Ölnebenerzeugnisse","Ölkuchen aller Ölsaaten","Ölmühlen","","Ausland","","","1.000 t","14,256","14"
"202504","Deutschland","Verkäufe","Ölnebenerzeugnisse","Ölkuchen aller Ölsaaten","Ölmühlen","","Futterzwecke","","","1.000 t","3,126","3"
"202504","Deutschland","Verkäufe","Ölnebenerzeugnisse","Ölkuchen aller Ölsaaten","Ölmühlen","","Handel","","","1.000 t","7,767","8"
"202504","Deutschland","Verkäufe","Ölsaaten","Ölsaaten insgesamt","Ölmühlen, Raffinerien","","Nahrungszwecke","Ausfuhr","","1.000 t","63,218","63"
"202504","Deutschland","Verkäufe","Ölsaaten","Ölsaaten insgesamt","Ölmühlen, Raffinerien","","Nahrungszwecke","Handel: Endverbraucher, nicht Endverbraucher, gewerbliche Abfüller (Inland)","","1.000 t","59,842","60"
"202504","Deutschland","Verkäufe","Ölsaaten","Ölsaaten insgesamt","Ölmühlen, Raffinerien","","Nahrungszwecke","Verarbeitung (Inland)","","1.000 t","28,099","28"
"202504","Deutschland","Verkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Raffinerien","","Nahrungszwecke","Ausfuhr","","1.000 t","34,332","34"
"202504","Deutschland","Verkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Raffinerien","","Nahrungszwecke","Handel: Endverbraucher, nicht Endverbraucher, gewerbliche Abfüller (Inland)","","1.000 t","43,133","43"
"202504","Deutschland","Verkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Raffinerien","","Nahrungszwecke","Verarbeitung (Inland)","","1.000 t","20,72","21"
"202504","Deutschland","Zugang","Ölsaaten","andere Ölsaaten","Ölmühlen","insgesamt","","","","1.000 t","346,09","346"
"202504","Deutschland","Zugang","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","aus EU (einschließlich Deutschland)","","","","1.000 t",".","0"
"202504","Deutschland","Zugang","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","insgesamt","","","","1.000 t","1062,8329999999999","1.063"
"202504","Deutschland","Zugang","Ölsaaten","Raps (und Rübsen)","Ölmühlen","ausländischer Herkunft","","","","1.000 t","422,872","423"
"202504","Deutschland","Zugang","Ölsaaten","Raps (und Rübsen)","Ölmühlen","inländischer Herkunft","","","","1.000 t","293,871","294"
"202504","Deutschland","Zugang","Ölsaaten","Raps (und Rübsen)","Ölmühlen","insgesamt","","","","1.000 t","716,7429999999999","717"
"202503","Deutschland","Bestände","Hülsenfrüchte","Ackerbohne","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","32,857","33"
"202503","Deutschland","Bestände","Hülsenfrüchte","andere Hülsenfrüchte","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","8,28","8"
"202503","Deutschland","Bestände","Hülsenfrüchte","Futtererbse","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","98,347","98"
"202503","Deutschland","Bestände","Hülsenfrüchte","Hülsenfrüchte insgesamt","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","139,484","139"
"202503","Deutschland","Bestände","Ölnebenerzeugnisse","andere Ölsaaten","Ölmühlen","","","","","1.000 t",".","0"
"202503","Deutschland","Bestände","Ölnebenerzeugnisse","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t",".","0"
"202503","Deutschland","Bestände","Ölnebenerzeugnisse","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","53,038","53"
"202503","Deutschland","Bestände","Ölsaaten","andere Ölsaaten","Ölmühlen","","","","","1.000 t","110,93","111"
"202503","Deutschland","Bestände","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","458,857","459"
"202503","Deutschland","Bestände","Ölsaaten","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","347,927","348"
"202503","Deutschland","Bestände","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","880,819","881"
"202503","Deutschland","Bestände","pflanzliche Öle und Fette (Rohöl)","andere Ölsaaten","Ölmühlen","","","","","1.000 t","38,939","39"
"202503","Deutschland","Bestände","pflanzliche Öle und Fette (Rohöl)","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","107,86099999999999","108"
"202503","Deutschland","Bestände","pflanzliche Öle und Fette (Rohöl)","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","68,922","69"
"202503","Deutschland","Einkäufe","Hülsenfrüchte","Ackerbohne","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","5,268","5"
"202503","Deutschland","Einkäufe","Hülsenfrüchte","andere Hülsenfrüchte","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","0,261","0"
"202503","Deutschland","Einkäufe","Hülsenfrüchte","Futtererbse","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","4,804","5"
"202503","Deutschland","Einkäufe","Hülsenfrüchte","Hülsenfrüchte insgesamt","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","10,332999999999998","10"
"202503","Deutschland","Einkäufe","Ölsaaten","andere Ölsaaten","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t",".","0"
"202503","Deutschland","Einkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Mischfutterhersteller, Händler","Landwirtschaft","","","","1.000 t","96,816","97"
"202503","Deutschland","Herstellung","Margarineerzeugnisse, Speisefette","Margarine","Margarinehersteller","","","","","1.000 t","26,028","26"
"202503","Deutschland","Herstellung","Margarineerzeugnisse, Speisefette","Speisefette","Speisefetthersteller","","","","","1.000 t",".","0"
"202503","Deutschland","Herstellung","Ölnebenerzeugnisse","andere Ölsaaten","Ölmühlen","","","","","1.000 t","243,656","244"
"202503","Deutschland","Herstellung","Ölnebenerzeugnisse","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","718,421","718"
"202503","Deutschland","Herstellung","Ölnebenerzeugnisse","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","474,765","475"
"202503","Deutschland","Herstellung","pflanzliche Öle und Fette (Rohöl)","andere Ölsaaten","Ölmühlen","","","","","1.000 t","63,477","63"
"202503","Deutschland","Herstellung","pflanzliche Öle und Fette (Rohöl)","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","428,147","428"
"202503","Deutschland","Herstellung","pflanzliche Öle und Fette (Rohöl)","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","364,67","365"
"202503","Deutschland","Verarbeitung","Ölsaaten","andere Ölsaaten","Ölmühlen","","","","","1.000 t","317,496","317"
"202503","Deutschland","Verarbeitung","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","","","","","1.000 t","1151,429","1.151"
"202503","Deutschland","Verarbeitung","Ölsaaten","Raps (und Rübsen)","Ölmühlen","","","","","1.000 t","833,933","834"
"202503","Deutschland","Verkäufe","Ölnebenerzeugnisse","Extraktionsschrot aller Ölsaaten","Ölmühlen","","Ausland","","","1.000 t","154,919","155"
"202503","Deutschland","Verkäufe","Ölnebenerzeugnisse","Extraktionsschrot aller Ölsaaten","Ölmühlen","","Futterzwecke","","","1.000 t","165,768","166"
"202503","Deutschland","Verkäufe","Ölnebenerzeugnisse","Extraktionsschrot aller Ölsaaten","Ölmühlen","","Handel","","","1.000 t","82,221","82"
"202503","Deutschland","Verkäufe","Ölnebenerzeugnisse","Ölkuchen aller Ölsaaten","Ölmühlen","","Ausland","","","1.000 t","14,939","15"
"202503","Deutschland","Verkäufe","Ölnebenerzeugnisse","Ölkuchen aller Ölsaaten","Ölmühlen","","Futterzwecke","","","1.000 t","2,877","3"
"202503","Deutschland","Verkäufe","Ölnebenerzeugnisse","Ölkuchen aller Ölsaaten","Ölmühlen","","Handel","","","1.000 t","6,884","7"
"202503","Deutschland","Verkäufe","Ölsaaten","Ölsaaten insgesamt","Ölmühlen, Raffinerien","","Nahrungszwecke","Ausfuhr","","1.000 t","73,203","73"
"202503","Deutschland","Verkäufe","Ölsaaten","Ölsaaten insgesamt","Ölmühlen, Raffinerien","","Nahrungszwecke","Handel: Endverbraucher, nicht Endverbraucher, gewerbliche Abfüller (Inland)","","1.000 t","58,78","59"
"202503","Deutschland","Verkäufe","Ölsaaten","Ölsaaten insgesamt","Ölmühlen, Raffinerien","","Nahrungszwecke","Verarbeitung (Inland)","","1.000 t","29,192","29"
"202503","Deutschland","Verkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Raffinerien","","Nahrungszwecke","Ausfuhr","","1.000 t","38,826","39"
"202503","Deutschland","Verkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Raffinerien","","Nahrungszwecke","Handel: Endverbraucher, nicht Endverbraucher, gewerbliche Abfüller (Inland)","","1.000 t","40,271","40"
"202503","Deutschland","Verkäufe","Ölsaaten","Raps (und Rübsen)","Ölmühlen, Raffinerien","","Nahrungszwecke","Verarbeitung (Inland)","","1.000 t","20,442","20"
"202503","Deutschland","Zugang","Ölsaaten","andere Ölsaaten","Ölmühlen","insgesamt","","","","1.000 t","254,253","254"
"202503","Deutschland","Zugang","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","aus EU (einschließlich Deutschland)","","","","1.000 t",".","0"
"202503","Deutschland","Zugang","Ölsaaten","Ölsaaten insgesamt","Ölmühlen","insgesamt","","","","1.000 t","1034,212","1.034"
"202503","Deutschland","Zugang","Ölsaaten","Raps (und Rübsen)","Ölmühlen","ausländischer Herkunft","","","","1.000 t","436,814","437"
"202503","Deutschland","Zugang","Ölsaaten","Raps (und Rübsen)","Ölmühlen","inländischer Herkunft","","","","1.000 t","343,145","343"
"202503","Deutschland","Zugang","Ölsaaten","Raps (und Rübsen)","Ölmühlen","insgesamt","","","","1.000 t","779,9590000000001","780"
"202502","Deutschland","Bestände","Hülsenfrüchte","Ackerbohne","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","42,286","42"
"202502","Deutschland","Bestände","Hülsenfrüchte","andere Hülsenfrüchte","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","8,845","9"
"202502","Deutschland","Bestände","Hülsenfrüchte","Futtererbse","Ölmühlen, Mischfutterhersteller, Händler, Nährmittelhersteller","","","","","1.000 t","107,599","108"
