Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);C‰sium-134 Cs-134;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);C‰sium-137 Cs-137;3,98E+00;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Iod-131 I-131;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Kalium-40 K-40;4,71E+02;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Beryllium-7 Be-7;8,61E+00;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Cobalt-60 Co-60;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Natrium-22 Na-22;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Chrom-51 Cr-51;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Mangan-54 Mn-54;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Cobalt-57 Co-57;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Cobalt-58 Co-58;n.n.;Bq/kg(TM)
