TB 1;;;;;;;
Meldepflichtige Unfälle (Arbeitsunfälle und Wegeunfälle) in den Jahren 2014 bis 2016;;;;;;;
;;;;;;;
Unfallart;;;;Veränderung;Veränderung;Veränderung;Veränderung
Unfallversicherungsträger;2016;2015;2014;von 2016 zu 2015;von 2016 zu 2015;von 2015 zu 2014;von 2015 zu 2014
;;;;absolut ;%;absolut ;%
1;2;3;4;5;6;7;8
Meldepflichtige Arbeitsunfälle;959.266;944.744;955.919;+14.522;+1,5;-11.175;-1,2
Gewerbliche Berufsgenossenschaften;802.016;791.319;796.427;+10.697;+1,4;-5.108;-0,6
Landwirtschaftliche Berufsgenossenschaft;82.195;78.688;86.102;+3.507;+4,5;-7.414;-8,6
Unfallversicherungsträger der öffentlichen Hand;75.055;74.737;73.390;+318;+0,4;+1.347;+1,8
Meldepflichtige Wegeunfälle;188.395;181.318;176.443;+7.077;+3,9;+4.875;+2,8
Gewerbliche Berufsgenossenschaften;159.502;153.980;149.875;+5.522;+3,6;+4.105;+2,7
Landwirtschaftliche Berufsgenossenschaft;2.325;2.137;2.203;+188;+8,8;-66;-3,0
Unfallversicherungsträger der öffentlichen Hand;26.568;25.201;24.365;+1.367;+5,4;+836;+3,4
Meldepflichtige Arbeits- und Wegeunfälle gesamt;1.147.661;1.126.062;1.132.362;+21.599;+1,9;-6.300;-0,6
Gewerbliche Berufsgenossenschaften;961.518;945.299;946.302;+16.219;+1,7;-1.003;-0,1
Landwirtschaftliche Berufsgenossenschaft;84.520;80.825;88.305;+3.695;+4,6;-7.480;-8,5
Unfallversicherungsträger der öffentlichen Hand;101.623;99.938;97.755;+1.685;+1,7;+2.183;+2,2
Quelle: Unfallversicherungsträger;;;;;;;
Hinweis: Fußnoten stehen als Kommentare in den jeweiligen Zellen;;;;;;;
