TM 8;;;;;;;;;;;;;;;
Entwicklung der Berufskrankheiten ab 1960;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Jahr;Angezeigte Verdachtsfälle;Angezeigte Verdachtsfälle;Anerkannte Berufs-krankheiten;Anerkannte Berufs-krankheiten;Zahl der BK-Renten an Versicherte am Ende des Vorjahres;Zahl der BK-Renten an Versicherte am Ende des Vorjahres;Neue Rentenfälle;Neue Rentenfälle;Berufl. Verursach. festgestellt, vers.-rechtl. Vorauss. fehlen;Berufl. Verursach. festgestellt, vers.-rechtl. Vorauss. fehlen;"Todesfälle Berufs-
erkrankter mit Tod infolge der Berufskrankheit";"Todesfälle Berufs-
erkrankter mit Tod infolge der Berufskrankheit";;;
;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufsgenossen-schaften;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;;;
1960;33.727;---;---;---;---;---;7.529;---;---;---;---;---;;;
1961;33.184;---;---;---;---;---;7.306;---;---;---;---;---;;;
1962;29.261;---;---;---;---;---;6.938;---;---;---;---;---;;;
1963;27.947;---;---;---;---;---;6.779;---;---;---;---;---;;;
1964;28.042;---;---;---;---;---;6.284;---;---;---;---;---;;;
1965;27.467;---;---;---;---;---;6.464;---;---;---;---;---;;;
1966;26.061;---;---;---;---;---;6.152;---;---;---;---;---;;;
1967;26.280;---;---;---;---;---;5.836;---;---;---;---;---;;;
1968;25.793;---;---;---;---;---;5.316;---;---;---;---;---;;;
1969;27.427;---;---;---;---;---;5.464;---;---;---;---;---;;;
1970;25.960;---;---;---;---;---;5.173;---;---;---;---;---;;;
1971;27.200;---;---;---;---;---;5.374;---;---;---;---;---;;;
1972;30.273;---;---;---;---;---;5.488;---;---;---;---;---;;;
1973;32.496;29.465;---;---;78.717;72.961;5.580;---;---;---;---;---;;;
1974;35.823;32.462;---;---;77.715;71.803;6.072;---;---;---;---;---;;;
1975;38.296;34.980;---;---;77.222;71.235;6.104;---;---;---;---;---;;;
1976;40.036;36.552;---;---;76.433;70.470;6.474;---;---;---;---;---;;;
1977;48.189;44.477;---;---;76.310;70.331;7.581;---;---;---;---;---;;;
1978;45.483;41.470;14.001;13.214;78.388;72.372;7.248;---;---;---;---;---;;;
1979;45.469;41.168;14.567;13.486;79.266;73.272;6.446;---;---;---;---;---;;;
1980;45.113;40.866;13.092;12.046;80.128;74.130;6.235;---;---;---;---;---;;;
1981;42.654;38.303;13.269;12.187;81.001;74.987;6.120;---;---;---;---;---;;;
1982;37.361;33.137;12.740;11.522;81.766;75.675;5.652;---;---;---;---;---;;;
1983;35.353;30.716;11.146;9.934;82.248;76.026;4.792;---;---;---;---;---;;;
1984;35.408;31.235;9.277;8.195;81.893;75.653;4.407;---;---;---;---;---;;;
