"Straßenschlüssel","Straßenname","Hausnummer","Statistischer Bezirk","Ortsteil"
"05047","Aachener Straße","7","041","Zentrum-West"
"06143","Abrahamstraße","1A","720","Neulindenau"
"06143","Abrahamstraße","2","720","Neulindenau"
"06143","Abrahamstraße","3","720","Neulindenau"
"06143","Abrahamstraße","4","720","Neulindenau"
"06143","Abrahamstraße","5","720","Neulindenau"
"06143","Abrahamstraße","5A","720","Neulindenau"
"06143","Abrahamstraße","5B","720","Neulindenau"
"06143","Abrahamstraße","5C","720","Neulindenau"
"06143","Abrahamstraße","6","720","Neulindenau"
"06143","Abrahamstraße","7","720","Neulindenau"
"06143","Abrahamstraße","7A","720","Neulindenau"
"06143","Abrahamstraße","7B","720","Neulindenau"
"06143","Abrahamstraße","7C","720","Neulindenau"
"06143","Abrahamstraße","8","720","Neulindenau"
"06143","Abrahamstraße","9","720","Neulindenau"
"06143","Abrahamstraße","10","720","Neulindenau"
"06143","Abrahamstraße","20","720","Neulindenau"
"02140","Abtnaundorfer Straße","1","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","3","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","7","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","40","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","42","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","44","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","46","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","47","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","48","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","48A","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","48B","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","49","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","49A","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","50","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","50A","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","50B","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","51","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","52","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","52A","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","52B","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","52C","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","54","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","56","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","56A","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","58","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","58A","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","59A","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","60","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","61","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","62","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","64","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","65","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","66","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","67","100","Schönefeld-Abtnaundorf"
"02140","Abtnaundorfer Straße","68","100","Schönefeld-Abtnaundorf"
"02852","Achatstraße","2","270","Engelsdorf"
"02852","Achatstraße","4","270","Engelsdorf"
"02852","Achatstraße","6","270","Engelsdorf"
"02852","Achatstraße","8","270","Engelsdorf"
"02852","Achatstraße","10","270","Engelsdorf"
"02852","Achatstraße","12","270","Engelsdorf"
"02852","Achatstraße","14","270","Engelsdorf"
"02852","Achatstraße","16","270","Engelsdorf"
"02852","Achatstraße","18","270","Engelsdorf"
"02852","Achatstraße","20","270","Engelsdorf"
"02852","Achatstraße","22","270","Engelsdorf"
"02852","Achatstraße","24","270","Engelsdorf"
