stadtbereich_code,stadtbereich_bezeichnung,anteil_deutsch,anteil_auslaendisch
C,Lichtenhagen,95.5,4.5
K,Kröpeliner-Tor-Vorstadt,96.3,3.7
Q,Dierkow-Ost,99.1,0.9
D,Groß Klein,96.1,3.9
T,Gehlsdorf,98.9,1.1
H,Reutershagen,98.6,1.4
G,Schmarl,97.0,3.0
M,Biestow,99.4,0.6
N,Stadtmitte,94.7,5.3
S,Toitenwinkel,97.5,2.5
O,Brinckmansdorf,99.3,0.7
E,Lütten Klein,96.2,3.8
I,Hansaviertel,98.8,1.2
U,Rostock-Ost,99.3,0.7
L,Südstadt,96.2,3.8
F,Evershagen,95.0,5.0
R,Dierkow-West,99.6,0.4
P,Dierkow-Neu,95.5,4.5
A,Warnemünde,98.6,1.4
B,Rostock-Heide,98.9,1.1
J,Gartenstadt-Stadtweide,92.1,7.9
