Berufsbezeichnung,Datum,In_Neuordnung,Ministerium,Anzahl
Änderungsschneider/-in,2005-05-09T00:00:00Z,Nein,BMWK,32
Anlagenmechaniker/-in,2018-06-28T00:00:00Z,Nein,BMWK,1011
"Anlagenmechaniker/-in für Sanitär-, Heizungs- und Klimatechnik",2016-04-28T00:00:00Z,Nein,BMWK,14716
Asphaltbauer/-in,1984-03-19T00:00:00Z,Nein,BMWK,15
Aufbereitungsmechaniker/-in,2004-02-09T00:00:00Z,Nein,BMWK,39
Augenoptiker/-in,2011-04-26T00:00:00Z,Nein,BMWK,2892
Ausbaufacharbeiter/-in,2009-02-20T00:00:00Z,Ja,BMWK,554
Automatenfachmann/-frau,2015-07-01T00:00:00Z,Nein,BMWK,52
Automobilkaufmann/-frau,2017-02-28T00:00:00Z,Nein,BMWK,5308
Bäcker/-in,2016-02-08T00:00:00Z,Nein,BMWK,1794
Bankkaufmann/-frau,2021-04-30T00:00:00Z,Nein,BMWK,8158
Baugeräteführer/-in,1997-05-12T00:00:00Z,Nein,BMWK,696
Baustoffprüfer/-in,2005-05-24T00:00:00Z,Nein,BMWK,180
Bauwerksabdichter/-in,1997-04-24T00:00:00Z,Nein,BMWK,21
Bauwerksmechaniker/-in für Abbruch- und Betontrenntechnik,1999-06-02T00:00:00Z,Ja,BMWK,24
Bauzeichner/-in,2016-10-31T00:00:00Z,Ja,BMWK,2648
Behälter- und Apparatebauer/-in,2018-01-02T00:00:00Z,Nein,BMWK,52
Bergbautechnologe/-in,2009-06-04T00:00:00Z,Nein,BMWK,74
Berg- und Maschinenmann/-frau,2013-07-29T00:00:00Z,Nein,BMWK,15
Berufskraftfahrer/-in,2017-10-16T00:00:00Z,Nein,BMWK,3009
Bestattungsfachkraft,2007-05-29T00:00:00Z,Nein,BMWK,390
Beton- und Stahlbetonbauer/-in,2009-02-20T00:00:00Z,Ja,BMWK,564
Betonfertigteilbauer/-in,2015-11-26T00:00:00Z,Nein,BMWK,52
Binnenschiffer/-in,2022-03-02T00:00:00Z,Nein,BMWK,99
Binnenschifffahrtskapitän/-in,2022-03-02T00:00:00Z,Nein,BMWK,34
Biologielaborant/-in,2022-02-10T00:00:00Z,Nein,BMWK,480
Biologiemodellmacher/-in,2017-06-08T00:00:00Z,Nein,BMWK,3
Bodenleger/-in,2002-06-17T00:00:00Z,Nein,BMWK,212
Bogenmacher/-in,2015-07-16T00:00:00Z,Nein,BMWK,2
Bootsbauer/-in,2011-06-08T00:00:00Z,Nein,BMWK,171
Böttcher/-in,2010-05-05T00:00:00Z,Nein,BMWK,3
Brauer und Mälzer/-in,2021-06-04T00:00:00Z,Nein,BMWK,364
