Jahr;Stadtbezirk;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate);Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Durchschnittsalter der Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter nicht-deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen - jahresscharf
2024;614;1,6;1,4;2,2;55,9;48,3;86,3;30,9;31,3;30,1;1,3;1,2;1,6
2007;120;1,1;1,1;1,2;36,2;35,8;39,5;31;31,1;30,7;1;1;2,6
2021;680;1,2;1,3;1,2;32,4;33,5;28;33,4;33,4;33,5;1,2;1;3,3
2000;423;0,9;0,9;1,2;35,5;34;48,8;30,6;30,9;29;0,9;0,9;2,2
2006;630;1,5;1,4;1,4;47,2;44,2;148,8;29,8;30;28,5;1,4;1,4;1,2
2011;320;1,2;1,2;1,3;35,5;33,5;44,1;30,9;31,6;28,5;1,5;1,6;1,6
2011;512;1;1;1,1;33,7;32,4;38,7;30,6;30,7;30,3;0,9;0,8;1,1
1997;212;1;1;1;37;37;39,9;30,8;30,8;31,2;1,1;1,1;2
2024;422;1,2;1,3;0,8;44,4;45,9;37,2;33,6;33,7;31,9;1,2;1,2;1,2
1997;521;1,1;1;0,9;39,1;37,2;98,3;29,2;29,9;24,9;1,1;1,1;1
2018;630;1,7;1,7;1,7;61,1;59,5;79,3;31;31,3;29,4;2;2,2;1,3
2018;421;1,4;1,4;1,4;47,6;47,1;54,6;33,2;33,5;31,7;1,3;1,4;1,1
2012;340;1,3;1,3;0,3;35,6;34,7;170,7;31,9;31,6;33,9;1,4;1,3;1,4
1995;410;1;0,9;1,9;41,9;38,2;71;29,5;29,6;28,9;1,1;1;2
1998;211;1,1;1,1;1,1;42,4;42,2;47;32;32,1;30,8;1,1;1,1;1,5
2007;621;1,3;1,2;2,1;42,8;37,7;78;31;31,6;28,9;1,2;1,2;1,4
1996;512;1;0,9;1,6;38,3;35,3;57;28,4;28,8;26,5;1,2;1,2;1,8
1996;612;1,3;1,1;1,8;45,5;41,2;61,9;27,5;27,9;26,4;1,2;1;1,8
2006;421;1,1;1,1;1;38,2;38,2;40,1;33,1;33,2;31,9;1,3;1,3;1,4
2008;512;1;1;1,1;35,4;33,9;41,4;30,4;30,7;29,7;1,1;1,1;1
2007;521;1,1;1,1;0,6;34,8;35,3;41,7;32,1;32,2;30,8;1,8;1,9;0,8
2017;570;;;;;;;;;;0;0;0
2021;611;1,2;1,2;1,3;46,3;44,2;52,9;31,2;31,5;30,2;1,2;1,2;1,2
2009;640;1,3;1,3;1,2;40,4;36;117,1;29,3;29,7;27,6;1,6;1,5;2,3
2017;424;1,5;1,5;1,9;52,8;47,6;72,6;31,7;32,2;30,2;1,5;1,4;2
2001;540;1,4;1,3;2,1;44,5;39,8;75,4;28,9;28,9;29,2;1,5;1,3;3,5
1996;320;1,1;1,1;1,2;39;35,8;64,3;29,5;30,2;26,8;1,1;1;1,3
2004;211;1,2;1,2;1,3;44,6;43,5;52,5;32,7;33;31,5;1,4;1,4;1,5
1990;522;;;;;;;;;;1;1;1,8
1997;421;1,1;1;1,3;39,4;38,7;47,1;31,4;31,6;29,8;0,9;0,9;2
1999;330;1,2;1,2;0,2;48,8;46,6;266,7;30;30;29,9;1;1;2
2015;111;0,9;0,9;0,9;28,1;25,4;39,6;31,4;31,7;30,7;0,5;0,5;0,6
2023;531;1,2;1,3;1;31,5;31,7;31,5;31,2;31,2;31,2;1;1,2;0,8
2012;211;1,3;1,3;1,4;45,8;44,5;55,9;32,3;32,2;32,8;1,2;1,3;1,1
1993;111;;;;;;;;;;0,7;0,6;1,2
2018;212;1,5;1,5;1,3;45,2;47,7;35,1;32,5;32,6;32,3;1,7;1,7;1,5
2003;423;1;1;1,2;36,6;35,8;44,2;31,2;31,6;29,1;1,2;1,2;0,7
1992;611;;;;;;;;;;1,2;1,1;1,1
2006;670;2;1,9;2;61,9;59,4;80,3;31,2;31,7;28,9;1,9;1,8;2,5
2001;231;1,2;1,1;1,9;49,2;42;93,2;28;28,7;26,4;1,2;1,2;1,7
