Jahr;Einwohnerzahl;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnung;Wohngebäude mit 3 und mehr Wohnungen;Wohnungen isgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 und mehr Räumen;Räume insgesamt;Baugenehmigungen im Wohnbau Gebäude;Baugenehmigungen im Wohnbau Wohnungen;Baugenehmigungen im Wohnbau Wohnfäche in qm;Baugenehmigungen im Nichtwohnbau Gebäude;Baugenehmigungen im Nichtwohnbau Nutzfläche in qm;Baufertigstellungen Wohngebäude;Baufertigstellungen Wohnungen;Baufertigstellungen Wohnfläche in qm;Baufertigstellungen Nichtwohngebäude;Baufertigstellungen Nichtwohngebäude Nutzfläche in qm
2001;114820;16818;7791;3271;5756;56968;-;-;-;-;-;-;-;87;222;19840;26;65737;86;219;22347;25;59915
2002;115532;16917;7863;3281;5773;57241;-;-;-;-;-;-;-;113;268;27972;22;29096;108;265;26158;22;49974
2003;115755;16990;7910;3289;5791;57468;-;-;-;-;-;-;-;116;189;24599;21;69996;85;241;20720;18;20184
2004;115551;17104;8006;3299;5799;57608;-;-;-;-;-;-;-;107;184;21718;15;13039;116;162;22242;14;22928
2005;115647;17209;8083;3307;5819;57798;-;-;-;-;-;-;-;107;217;22855;13;27421;111;196;22599;16;54777
2006;115756;17326;8171;3321;5834;58065;-;-;-;-;-;-;-;132;188;24421;26;54146;121;202;25127;13;31017
2007;116000;17416;8232;3328;5856;58289;-;-;-;-;-;-;-;86;139;16617;25;46970;91;207;21326;16;38441
2008;116334;17485;8296;3334;5855;58346;-;-;-;-;-;-;-;122;216;25695;18;75477;82;109;14557;28;40418
2009;116141;17552;8352;3342;5858;58446;-;-;-;-;-;-;-;107;185;21493;18;32098;88;159;17750;16;51950
2010;116132;17526;9024;2662;5801;58568;2175;6250;16192;18000;8379;8327;235668;114;372;33740;10;8182;86;138;16775;16;21430
2011;116882;17651;9127;2664;5817;58619;2241;6267;16245;18023;8436;8407;236844;148;248;30508;19;36950;131;266;26453;15;28583
2012;118002;17744;9199;2674;5827;59842;2258;6273;16331;18038;8476;8466;237804;126;338;36864;12;38523;105;238;26653;14;25664
2013;118946;17863;9286;2686;5846;60157;2260;6360;16385;18081;8563;8508;239045;121;294;32711;20;52406;121;309;31827;10;6331
2014;120763;17970;9364;2695;5866;60436;2287;6376;16456;18124;8609;8584;240274;140;324;37282;15;18143;107;302;34087;12;84406
2015;123609;18104;9472;2707;5880;60635;2287;6377;16489;18148;8695;8639;241280;126;348;37519;20;16656;139;248;29135;21;38696
2016;125160;18195;9524;2717;5909;60929;2330;6407;16557;18203;8745;8687;242389;161;447;44826;26;46098;88;234;27756;18;35282
2017;125779;18275;9566;2720;5940;61173;2311;6437;16644;18278;8775;8728;243408;102;303;25902;20;37500;72;206;21547;24;27433
2018;127124;18381;9638;2736;5959;61409;2253;6470;16735;18344;8832;8775;244543;134;621;62366;17;14177;106;239;27562;12;25378
2019;127543;18495;9733;2742;5971;61678;2321;6490;16777;18368;8891;8831;245551;72;254;25971;21;31622;113;249;25332;14;9860
2020;127559;18643;9839;2754;6000;62157;2377;6564;16893;18460;8985;8878;247271;55;234;21731;19;28884;143;404;43855;13;15282
2021;126998;18721;9870;2766;6034;62677;2391;6674;17090;18589;9040;8893;248986;100;447;39104;14;19843;73;435;39274;19;20084
2022;129364;18811;9909;2785;6066;63129;2387;6798;17191;18707;9105;8941;250651;78;271;22806;22;70102;84;365;35987;12;18064
2023;130508;18888;9956;2789;6092;63483;2488;6837;17265;18774;9141;8978;251741;50;176;18343;10;9060;73;229;24554;9;12607
