Jahr;Anzahl;Museum
2018;55637;Archäologisches Museum Frankfurt (1)
2018;16322;Bibelhaus Erlebnis Museum (2)
2018;65840;Caricatura Museum Frankfurt (3)
2018;110712;Deutsches Architekturmuseum (4)
2018;188881;DFF – Deutsches Filminstitut & Filmmuseum e. V.
2018;30462;Dommuseum Frankfurt
2018;108781;Experiminta ScienceCenter FrankfurtRheinMain
2018;11000;Frankfurter Feldbahnmuseum e. V. (5)
2018;114849;Frankfurter Goethe-Museum
2018;53329;Geldmuseum der Deutschen Bundesbank
2018;0;Heimatmuseum Bergen-Enkheim (5)(6)
2018;863;Heimat- und Geschichtsverein Nied e. V.
2018;699;Heimat- und Geschichtsverein Schwanheim
2018;706;Hindemith Kabinett im Kuhhirtenturm
2018;12200;Historische Eisenbahn Frankfurt e. V. (5)
2018;156478;Historisches Museum Frankfurt
2018;77619;Institut für Stadtgeschichte
2018;34671;Jüdisches Museum Frankfurt (7)
2018;23561;Junges Museum Frankfurt (8)
2018;77034;Liebieghaus Skulpturensammlung
2018;154546;Museum Angewandte Kunst (mit Ikonenmuseum) (9)
2018;23254;Museum der Weltkulturen (10)
2018;112625;Museum für Kommunikation Frankfurt (11)
2018;92696;Museum MMK für Moderne Kunst (12)
2018;30884;Portikus
2018;308137;Schirn Kunsthalle Frankfurt (13)
2018;363244;Senckenberg Naturmuseum Frankfurt (14)
2018;390593;Städel Museum (mit Städtischer Galerie)
2018;25318;StadtWaldHaus & Fasanerie
2018;154;Steinhausen-Museum
2018;13009;Struwwelpeter Museum (15)
2018;9599;Verkehrsmuseum Frankfurt am Main
2019;31952;Archäologisches Museum Frankfurt (1)
2019;18616;Bibelhaus Erlebnis Museum (2)
2019;52649;Caricatura Museum Frankfurt (3)
2019;89068;Deutsches Architekturmuseum (4)
2019;200019;DFF – Deutsches Filminstitut & Filmmuseum e. V.
2019;33860;Dommuseum Frankfurt
2019;118485;Experiminta ScienceCenter FrankfurtRheinMain
2019;10800;Frankfurter Feldbahnmuseum e. V. (5)
2019;119512;Frankfurter Goethe-Museum
2019;49376;Geldmuseum der Deutschen Bundesbank
2019;130;Heimatmuseum Bergen-Enkheim (5)(6)
2019;979;Heimat- und Geschichtsverein Nied e. V.
2019;1213;Heimat- und Geschichtsverein Schwanheim
2019;498;Hindemith Kabinett im Kuhhirtenturm
2019;10800;Historische Eisenbahn Frankfurt e. V. (5)
2019;157165;Historisches Museum Frankfurt
2019;63109;Institut für Stadtgeschichte
2019;28096;Jüdisches Museum Frankfurt (7)
2019;21098;Junges Museum Frankfurt (8)
2019;50820;Liebieghaus Skulpturensammlung
2019;171591;Museum Angewandte Kunst (mit Ikonenmuseum) (9)
2019;29989;Museum der Weltkulturen (10)
2019;112492;Museum für Kommunikation Frankfurt (11)
2019;82902;Museum MMK für Moderne Kunst (12)
2019;33500;Portikus
2019;242611;Schirn Kunsthalle Frankfurt (13)
2019;398754;Senckenberg Naturmuseum Frankfurt (14)
2019;580137;Städel Museum (mit Städtischer Galerie)
2019;29443;StadtWaldHaus & Fasanerie
2019;192;Steinhausen-Museum
2019;23310;Struwwelpeter Museum (15)
2019;10155;Verkehrsmuseum Frankfurt am Main
2020;11084;Archäologisches Museum Frankfurt (1)
2020;5787;Bibelhaus Erlebnis Museum (2)
2020;13227;Caricatura Museum Frankfurt (3)
2020;33773;Deutsches Architekturmuseum (4)
2020;71465;DFF – Deutsches Filminstitut & Filmmuseum e. V.
2020;9621;Dommuseum Frankfurt
2020;40659;Experiminta ScienceCenter FrankfurtRheinMain
2020;3140;Frankfurter Feldbahnmuseum e. V. (5)
2020;26492;Frankfurter Goethe-Museum
2020;14097;Geldmuseum der Deutschen Bundesbank
2020;0;Heimatmuseum Bergen-Enkheim (5)(6)
2020;435;Heimat- und Geschichtsverein Nied e. V.
2020;295;Heimat- und Geschichtsverein Schwanheim
2020;205;Hindemith Kabinett im Kuhhirtenturm
2020;1000;Historische Eisenbahn Frankfurt e. V. (5)
2020;51153;Historisches Museum Frankfurt
2020;22881;Institut für Stadtgeschichte
2020;11890;Jüdisches Museum Frankfurt (7)
2020;6211;Junges Museum Frankfurt (8)
2020;29591;Liebieghaus Skulpturensammlung
2020;33282;Museum Angewandte Kunst (mit Ikonenmuseum) (9)
2020;8270;Museum der Weltkulturen (10)
