deviceId;name;Standort;refDeviceGroup;location;deviceType;locationId;customProperties;isEnabled;letzte Statusänderung;Belegungsstatus;geo_point_2d
FCD6BD00001933FE;DE*MVV*E00013*R1;Werkhof;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.46458, 49.494673], ""type"": ""Point""}";LoRa;83fed1ca-c8e6-40d4-a625-5c79c171501a;{};1;2023-07-12T12:03:27+00:00;belegt;49.494673, 8.46458
FCD6BD0000191701;DE*MVV*E00042*R1;Ev. Gemeindezentrum Neuhermsheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.508018, 49.465589], ""type"": ""Point""}";LoRa;b70d8c6d-abbf-4ed9-9c81-a5b14fe5afee;{};1;2023-11-19T10:04:16+00:00;frei;49.465589, 8.508018
FCD6BD00001916E5;DE*MVV*E00046*L1;Hochschule Mannheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.483, 49.469772], ""type"": ""Point""}";LoRa;9d315ea9-c64d-4fa2-aa75-d27dc37ab3a4;{};1;2022-11-07T12:26:31+00:00;frei;49.469772, 8.483
FCD6BD0000191D39;DE*MVV*E00046*R1;Hochschule Mannheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.48302, 49.469792], ""type"": ""Point""}";LoRa;481b593e-2e60-4f5b-aae9-754f1b4f5ab2;{};1;2022-05-22T10:18:55+00:00;belegt;49.469792, 8.48302
FCD6BD00001916F2;DE*MVV*E00100*R1;Mannheim-Friedrichsfeld Sued;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.571611, 49.437882], ""type"": ""Point""}";LoRa;4f706c74-08b6-43f1-bced-c581af3c4412;{};1;2022-10-06T12:46:42+00:00;belegt;49.437882, 8.571611
FCD6BD0000190EA3;DE*MVV*E00026*L1;Mobilitaetstation Kaefertal;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.506478, 49.507281], ""type"": ""Point""}";LoRa;611443b7-b83e-4719-b0da-df490276dc85;{};1;2021-12-17T17:15:57+00:00;frei;49.507281, 8.506478
FCD6BD00001933F0;DE*MVV*E00047*L1;Rathaus E5;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.462356, 49.489556], ""type"": ""Point""}";LoRa;d21845f4-7c95-42b7-91a8-315dfa1d09df;{};1;2022-06-19T12:00:35+00:00;frei;49.489556, 8.462356
FCD6BD00001916EF;DE*MVV*E00327*02;Rosengarten;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.476066, 49.485605], ""type"": ""Point""}";LoRa;a8512b1c-2052-4d10-9dcf-7de9542b3c0a;{};1;2021-07-18T10:05:28+00:00;belegt;49.485605, 8.476066
FCD6BD00001916FB;DE*MVV*E00056*R1;Speckweg;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.498867, 49.520652], ""type"": ""Point""}";LoRa;157e4fe6-fe04-493a-ac16-216ec67c24a0;{};1;2023-11-25T22:35:41+00:00;frei;49.520652, 8.498867
FCD6BD0000191F78;DE*MVV*E00050*R1;Winzerplatz;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.508425, 49.502604], ""type"": ""Point""}";LoRa;cde06c50-7073-47c2-a37a-1fe856b94a59;{};1;2024-03-14T18:25:53+00:00;frei;49.502604, 8.508425
FCD6BD0000191F62;DE*MVV*E00008*R1;Taunusplatz;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.483781, 49.52439], ""type"": ""Point""}";LoRa;fcfc2fd4-5f59-4b91-94d8-31fe5833e327;{};1;2022-05-08T20:51:27+00:00;belegt;49.52439, 8.483781
FCD6BD0000191F64;DE*MVV*E00150*R1;Feudenheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.530107, 49.484008], ""type"": ""Point""}";LoRa;09592b76-5493-43e5-99c0-013aab1cf4c6;{};1;2022-04-29T16:59:21+00:00;belegt;49.484008, 8.530107
FCD6BD0000193401;DE*MVV*E00043*L1;AWO;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.477724, 49.548467], ""type"": ""Point""}";LoRa;111dfb4a-bd2a-4978-83ec-b0c9da33bcca;{};1;2022-06-16T10:14:49+00:00;frei;49.548467, 8.477724
FCD6BD000019247A;DE*MVV*E00039*R1;DHBW Mannheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.53456, 49.474838], ""type"": ""Point""}";LoRa;88ba782f-2baa-4482-94ee-984bf092e336;{};1;2022-10-20T08:04:51+00:00;belegt;49.474838, 8.53456
FCD6BD0000193400;DE*MVV*E00066*L1;Kaefertaler Strasse;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.476753, 49.495841], ""type"": ""Point""}";LoRa;c51e05bf-2162-40ad-af2a-ecb3c277eea2;{};1;2022-06-21T09:17:11+00:00;belegt;49.495841, 8.476753
