Titel;Stadtbezirk;Projektfamilie;Themenfeld;Nummer;Projektgeneration;Nordwärts-Prämiert;Status;Kurzbeschreibung;Straße;Hausnummer;Unterbezirk Nr.;Unterbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Stadtbezirk Nr.;Stadtbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum;Ostwert;Hochwert;Geografische Koordinaten;Kommune
„Innovatives Umfeldmanagement“: Entwicklung einer interkulturellen Aufenthalts- und Beratungseinrichtung und Implementierung dieser im „Café BERTA“;IN-NORD;Zivilgesellschaft;Integration und Teilhabe;785;B;;gestartet/läuft;"Niederschwelliges Beratungsangebot im Bereich der Suchterkrankungen, eingebettet in ein qualifiziertes, innovatives Umfeldmanagement unter Berücksichtigung der interkulturellen Bedarfe.

Sachstand 01/2018: Trotz zahlreicher Bemühungen des Ordnungsamtes und anderer Fachbereiche (Liegenschaftsamt, Tiefbauamt und Wirtschaftsförderung) stehen aktuell keine dem Anforderungsprofil entsprechenden Räumlichkeiten zur Verfügung. Die Standortsuche wird weiter verfolgt. Eine räumliche Expansion in dem bestehenden Standort ist vermieterseitig nicht möglich.

Sachstand 02/2020: Kein neuer Sachstand, keine passende Immobilie gefunden.

Sachstand 06/2021: Das Projekt läuft nach einer Covid 19 bedingten Pause wieder weiter.

Sachstand 07/2022: Es gibt keinen neuen Sachstand.";Heroldstraße;22;051;Nordmarkt-Süd;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393626.5199999999;57915.759999999;51.5230386401, 7.4667079276;Dortmund
Aktiv im Stadtteilpark Gneisenau Derne;Scharnhorst;Soziales;Infrastrukturen\Soziales;933;B (3);;umgesetzt/abgeschlossen;"Der Fachdienst Senioren beabsichtigt durch eine Bürgerwerkstatt, an der Bürgerinnen und Bürger sowie Akteure aus dem Quartier teilnehmen, als einer von mehreren Beteiligungsgegenständen, die Umsetzung eines möglicherweise auch inklusiven Sportangebotes im barrierefreien Stadtteilpark Gneisenau anzubieten und wenn gewünscht, zu implementieren.

Sachstand 04/2018: Auftaktveranstaltung zu ""Aktiv im Park"" hat am 18.04.2018 stattgefunden.

Sachstand 07/2019: Projekt ist gestartet und läuft unter der Federführung des Fachdienstes für Senioren im Sozialamt im Kontext Demografiewerkstatt Kommunen. Der Projektsteckbrief wurde im Juli 2019 noch einmal angepasst. Eine Projektvereinbarung ist auf dem Unterschriftenweg.

Sachstand 03/2020: Die Boulebahn, die durch Mittel  von ""nordwärts""  gebaut werden konnte, wurde im Oktober 2020 im Derner Gneisenaupark eröffnet. Sofort im Anschluss wurde ein sechswöchiger Boulekurs 1x wöchentlich jeweils 2 Stunden für die Derner Bürger*innen durch den DJK Scharnhorst angeboten. Für die Derner Bürger*innen, die den Kurs mit großem Interesse annahmen, war der Boulekurs kostenlos, da die Honorarkosten in Höhe von 240,- € aus dem Etat des Bundesprojekts ""Demografischer Wandel Kommunen"" finanziert wurde. Die Stadt Dortmund ist eine von 12 Kommunen, die diesem Bundesprojekt angehört. Das Projekt endet Ende 2020. Es ist geplant, dass erneut ein kostenloser Boulekurs im April 2020 durch den DJK Scharnhorst für die Derner Bürger*innen angeboten wird, um das Boulespielen an der Boulebahn zu aktivieren. Durch den Coronavirus wird sich wahrscheinlich das Bouleangebot zeitlich verzögern.

Sachstand 07/2021: Die angelegte Boulebahn im Gneisenaupark wird gut angenommen. Bedingt durch die pandemiebedingten Einschränkungen konnten nur je ein gemeinsamer Haushalt spielen. Für den 30.07.21 ist ein gemeinsames Spielen mit fachlicher Anleitung des DJK Scharnhorst geplant.

Sachstand 06/2022: Das Projekt war ein offizielles Projekt der Bürgerwerkstatt DWK (Demografiewerkstatt Kommunen), das beim Fachdienst für Senioren des Sozialamtes der Stadt Dortmund angesiedelt war. 2019 wurde das Projekt erfolgreich beendet.";Heringenstraße;11;212;Derne;210;Derne;2;Scharnhorst;051;Derne/Hostedde/Kirchderne/Grevel;;;39789.685;5713898.389999999;51.5669051716, 7.52675939035;Dortmund
Ausbau der dezentralen Freiwilligenberatung (stadtbezirksübergreifend);Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Identität und bürgerschaftliches Engagement;731;B;;umgesetzt/abgeschlossen;"Dezentrale Beratung rund um Ehrenamt im Quatiersbüro Westerfilde-Bodelschwingh.

Sachstand 01/2018: Infoveranstaltung am 24.01.2018 im Quartiersbüro Westerfilde. Ergebnis: Jeden zweiten Mittwoch im Monat findet die Beratung statt.

Sachstand 05/2019: Die dezentrale Beratung läuft im Quartiersbüro in Westerfilde. Es werden sowohl Organisationen als auch potentielle Ehrenamtliche beraten.

Sachstand 03/2020: Die dezentrale Beratung wurde von den Menschen aus dem Stadtbezirken nicht mehr genutzt. Die dezentrale Sprechstunde wird in diesem Jahr nicht mehr stattfinden.";;;;;;;;;;;;;;;;Dortmund
Barrierefreier Ausbau der Straßenbahnhaltestellen – Umbau Straßenbahnhaltestelle Borsigplatz;IN-NORD;Ökonomie;Infrastrukturen\Verkehr;580;C;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Für die Haltestelle Borsigplatz ist eine Ausstattung mit Bahnsteigkanten geplant. 

Sachstand 02/2018: Der Umbau der Haltestelle Borsigplatz ist nach derzeitigem Stand nach 2018 geplant.

Sachstand 04/2019: Vorplanung in Bearbeitung durch DSW21. Abstimmung mit Stadt läuft.

Sachstand 02/2020: Abstimmung mit DSW 21 läuft.

Sachstand 06/2021: Für die Realisierung finden Abstimmungsgespräche zwischen Tiefbauamt, dem Stadtplanungs- und Baurordnugnsamt und der DSW21 statt. Der Realisierungszeitraum seitens der DSW21 ist für Mitte / Ende 2022 geplant. 

Sachstand 08/2021: Die anvisierten Abstimmungsgespäche haben noch nicht stattgefunden. 

Sachstand 06/2022: Der geplante barrierefreie Umbau der Haltestelle Borsigplatz soll demnächst von DSW21 beim Fördergeber angemeldet werden.

Sachstand 08/2023: DSW21 plant für das 1. Halbjahr 2024 das Planfeststellungsverfahren einzuleiten.

Sachstand 04/2025: Hier kein neuer Sachstand zu 2023.";Borsigplatz;1;061;Borsigplatz;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;394638.85999999975;57983.329999999;51.5230267993, 7.48130119818;Dortmund
Beseitigung höhengleicher Bahnübergang Husener Straße;Scharnhorst;Ökonomie;Infrastrukturen\Verkehr;573;C;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Mit der Beseitigung des höhengleichen Bahnübergangs geht eine deutliche Steigerung der Verkehrssicherheit einher, aber auch Verbesserung der Verkehrsabläufe und der Attraktivität des Ortsbildes.

Sachstand 01/2018: Mit der DB Netz werden technische Details ausgearbeitet.

Sachstand 02/2020: Das Projekt wurde von der DB zurückgestellt. Ein Bau ist frühestens ab 2025 möglich

Sachstand 06/2021: Die Abstimmungsgespräche zwischen Stadt und DB Netz AG wurden wieder aufgenommen. Die für die Einreichung der Maßnahme beim Eisenbahnbundesamt notwendigen Unterlagen sind in Vorbereitung. Die DB hat den Baubeginn für das 4. Quartal 2027 festgesetzt.

Sachstand 07/2022: Derzeit befindet sich die UVP bzw. befinden sich die dazugehörigen Schriftstücke im internen Unterschriftengang. Wenn die DB einen gewissen Planungsstand erarbeitet hat, wird sie sich mit der Stadt in Verbindung setzen.

Sachstand 08/2023:Die Freigabe der UVP ist erfolgt. Die Ausschreibung soll noch im August 2023 erfolgen. 

Sachstand 03/2025: Die Ausschreibung der UVP war erfolglos. Die DB übernimmt die Beauftragung der UVP über ihren bestehenden Rahmenvertrag. Am 14.12.2023 wurde vom Rat der Stadt Dortmund ein Planungsbeschluss für die Planungen des Ingenieurbauwerks in Höhe von 800.000 Euro gefasst. Die Planung erfolgt durch die DB im Auftrag der Stadt Dortmund. Im Mai 2024 erfolgte der benötigte Grunderwerb. Zurzeit wir die Entwurfsplanung von allen Beteiligten (DB, Tiefbauamt, EB70) erarbeitet und abgestimmt. Nach Abschluss der Entwurfsplanung soll im Sommer die Abstimmung mit dem Eisenbahnbundesamt erfolgen und Ende des Jahres das Planfeststellungsverfahren gestartet werden. Baubeginn ist für 2029 geplant.";Husener Straße;83;243;Husen-Nord;240;Kurl-Husen;2;Scharnhorst;052;Husen/Kurl/Lanstrop;;;42915.163;5713324.519999999;51.5626341927, 7.59938755515;Dortmund
BINARIUM - Deutsches Museum der digitalen Kultur;Huckarde;Soziales;Infrastrukturen\Kultur;19;A;;umgesetzt/abgeschlossen;"Das BINARIUM ist ein Technikmuseum in Dortmund und erzählt auf zwei Etagen und fast 2.000 m² die Geschichte der Videospielkonsolen und Heimcomputer von den 1970er Jahren bis zur Gegenwart.

Sachstand 01/2018: Das BINARIUM wurde Ende 2016 eröffnet.";Hülshof;28;821;Mailoh;820;Huckarde;8;Huckarde;111;Deusen/Huckarde;;;3912.66999999987;571668.49999999;51.536409669, 7.41570679863;Dortmund
Brücken in Ausbildung;IN-NORD;Soziales;Soziale Innovation;197;A;;umgesetzt/abgeschlossen;"Sachstand 03/2019: Projekt abgeschlossen.

Sachstand 02/2020: Das Projekt ist abgeschlossen. Die Erkenntnisse aus dem Projekt wurden in das Regelangebot, das Beratungsangebot des Jobcenters übertragen.";;;;;;;;;;;;;;;;Dortmund
Clean Port;IN-NORD;Ökonomie;Arbeit;533;A;;gestartet/läuft;"Als Teil der Projektfamilien des Projektes ""nordwärts"" wird der CleanPort flächendeckende Innovationsimpulse in den nördlichen Stadtgebieten setzen.

Sachstand 10/2018: Das Sondervermögen Verpachtung Technologiezentrum und das TechnologieZentrumDortmund wollen nach dem bewährten Modell der Dortmunder Technologiezentren im Dortmunder Hafen das Kompetenzzentrum CleanPort Dortmund errichten. Im CleanPort arbeiten Gründer und junge Unternehmen auf dem Gebiet der „saubereren Technologien“ zusammen. Das Themenfeld reicht von der effizienten Nutzung der Energie und die Rohstoff Materialeffizienz über neue Verfahren und Produkte der Bodenverbesserung bis zur nachhaltigen Mobilität. Im CleanPort werden in den nächsten zehn Jahren neue Arbeitsplätze entstehen. 

Sachstand 06/2021: Das Sondervermögen Verpachtung Technologiezentrum und das TechnologieZentrumDortmund wollen nach dem bewährten Modell der Dortmunder Technologiezentren im Dortmunder Hafen das Kompetenzzentrum CleanPort Dortmund errichten. Im CleanPort wird kontinuierlich daran gearbeitet, dass sich neue StartUps im Bereich der sauberen Technologien ansiedeln.

Sachstand 07/2022: Sondervermögen Verpachtung Technologiezentrum strebt mit Beschluss des Rats der Stadt Dortmund vom 12.05.2022 eine Weiterentwicklung des ""CleanPorts"" an. In diesem Zusammenhang ist das SVTZ damit beauftragt worden, die Vorplanung zu konkretisieren und einen Förderantrag zur Kofinanzierung der Infrastrukturmaßnahmen zu stellen

Sachstand 08/2023: Gemäß Vorlage aus 2022 (DS-Nr.: 23827-22) hat der Rat der Stadt der Weiterentwicklung des CleanPorts zum Wasser- und Kohlenstoffzentrum zugestimmt. Das SVTZ hat daraufhin die Planungen inhaltlich konkretisiert und schließt gerade ein Verfahren zur Beauftragung eines Generalplaners ab. Es wird sich um eine Kofinanzierung der Investitionskosten bemüht.

Sachstand 04/2025: Aktuell befindet sich das Projekt im Abschluss der Vorplanungsphase. Parallel dazu wird versucht in der Förderlandschaft geeignete Förderungen aufzutun und Kontakte zur Wirtschaft und Wissenschaft werden gesucht, um möglichen Nutzern geeignete Strukturen bieten zu können.";Westerholz;1;023;Union;020;Dorstfelder Brücke;10;Innenstadt-West;013;Dorstfelder Brücke;013;Dorstfelder Brücke;392515.19999999;57845.266666669;51.5169363507, 7.45089272505;Dortmund
Der Mengeder Volksgarten – Eine Sportstätte verwandelt sich zum „Natur-Bürgerpark“;Mengede;Ökologie;Infrastrukturen\Sport+Freizeit;918;B (2);;gestartet/läuft;"Das gesamte Gelände des Mengeder Grüngürtels „Volksgarten“ einschließlich der angrenzenden Flächen wird unter Einbeziehung der den Volksgarten nutzenden Vereine sowie der gesamten Mengeder Bevölkerung als Natur–Bürgerpark zeitgemäß und erlebbar umgestaltet.

Sachstand 01/2018: Fertiggestellt: Wegesanierung, Beleuchtung, Pflanzung, Boulebahn, in Planung: neue Infrastruktur (Wasser, Abwasser, Strom), Eingangssituation, Vorbereitung der Vergabe: Parkplatzerweiterung

Sachstand 02/2019: Abwasser: Baubeginn April 2019; Wasser, Strom: Vorbereitung der Vergabe; Parkplatz: Vorbereitung der Vergabe (Einleitung der Vergabe April 2019) (Parkplatz dient als Baustellenlagerfläche für andere Baumaßnahmen); Eingangsbereich: aus Bauablaufgründen als letzte Maßnahme geplant. Baubeginn: 2.Quartal 2020

Sachstand 02/2020: Für die Umgestaltung des VG Mengede wurde der BV ein Entwicklungskonzept vorgelegt. Aus diesem Konzept wurden bereits folgende Maßnahmen umgesetzt: neue Beleuchtung, Sanierung der Abwasserkanäle, Baumpflanzung entlang der Parkplatzerweiterung, div. Neupflanzungen, Erneuerung Eingangstor, Einbau Feuerwehrschranke, Wegeinstandsetzungen, neue Bänke. Die Bauarbeiten zur Parkplatzerweiterung wurden ausgeschrieben und beginnen voraussichtlich im März. Der BV wurde ein erweitertes Pflanzkonzept vorgelegt, das sukzessive umgesetzt werden soll. Die Gestaltung des neuen Eingangsbereiches wird der BV im Herbst vorgestellt. 

Sachstand 06/2021:  Die Infrastruktur mit Wasser, Abwasser und Strom wurde fertiggestellt.
Die geplante Parplatzerweiterung ist ebenfalls baulich umgesetzt und abgeschlossen.

Sachstand 07/2022: Der Grundsatzbeschluss für den Umbau des Eingangsbereiches liegt vor. Nach dem Vorliegen des Baubeschlusses erfolgt die weitere Umsetzung.

Sachstand 08/2023: Die Planung des Eingangsbereiches ist abgeschlossen und mit dem Arbeitskreis der Bezirksvertretung abgestimmt. Aufgrund personeller Engpässe konnte der Baubeschluss bisher nicht erarbeitet werden. Dies erfolgt nun kurzfristig, so dass der Baubeschluss noch in diesem Jahr der Bezirksvertretung zum Beschluss vorgelegt werden kann. Der Ausbau des Eingangsbereiches erfolgt dann, in Abhängigkeit der Genehmigung des Haushaltes 2024, im Sommer /  Herbst nächsten Jahres unter Berücksichtigung der bekannten Veranstaltungen im Volksgarten.

Sachstand 03/2025: Die Ausschreibung der Neugestaltung des Kinderspielplatzes innerhalb des Mengeder Volksgarten soll im Sommer 2025 erfolgen. Der voraussichtliche Baubeginn ist für das Frühjahr 2026 geplant. Die Ausführung der  Neugestaltung des Eingangsbereiches mit dem Einbau der Feuerwehrschranke ist für das Jahr 2027 geplant.";Eckei;1;923;Mengede-Mitte;920;Mengede;9;Mengede;122;Mengede/Oestrich/Schwieringhausen;;;388217.625;5714765.349999999;51.5728628902, 7.38697691735;Dortmund
Diesterweg-Bildungsstipendium plus: Aufbau eines Alumni-Netzwerkes zur Begleitung der Stipendiatenfamilien;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Bildung;916;B (2);;umgesetzt/abgeschlossen;"Gemeinsam Bildungswege gehen - Mit Bildungspaten Kinder und ihre Familien unterstützen

Sachstand 01/2018: Die erste Stipendiatengeneration (16 Stipendiatenkinder, 56 Familienangehörige) hat im Sommer 2016 das zweijährige Programm durchlaufen. Die Mehrheit der Familien hat einen Migrationshintergrund, insgesamt gibt es acht Familiensprachen. Seit Abschluss des Stipendiums werden diese Familien auf ihrem Bildungsweg über das ""Alumni-Netzwerk""  gemeinsam vom Projektteam und ehrenamtlichen Bildungspaten beraten und unterstützt. Mit Beginn des  Schuljahres 2018/19 wechselt die zweite Stipendiatengeneration (74 Familienmitglieder aus 10 Herkunftsländern) aus dem Stipendiumprogramm in das Alumni-Netzwerk.  Das Netzwerk umfasst dann 149 kleine und große Personen. Zeitgleich geht die dritte Generation an den Start. Aktuell wird die Auswahl der 16 Stipendiaten vorbereitet; die beteiligten Grundschulen liegen alle im ""nordwärts""-Gebiet

Sachstand 07/2019: Seit dem Sommer 2018 werden im Alumni-Netzwerk die ersten beiden Stipendiatengenerationen (32 Stipendiatenkinder und 120 Familienmitglieder) begleitet und unterstützt. Gemeinsam mit den ehrenamtlichen Bildungspaten bietet das Diesterweg-Team den Kindern und Familien eine Vielzahl von Angeboten, z.B. Theaterbesuche, Beratungsgespräche und praktische Hilfen bei Schulproblemen und Schulwechsel, Müttertreffen, gemeinsame Feste, Ferienaktivitäten für die Stipendiaten und Geschwisterkinder, ÖPNV-Training zur Verbesserung der Verkehrssicherheit und Stadterkundung. Nach wie vor stoßen die Angebote bei vielen Familien auf großes Interesse und werden schrittweise ausgebaut.

Sachstand 02/2020: Das Alumni-Netzwerk knüpft dort an, wo das Stipendium aufhört: Ziel ist es, den Familien auch nach Abschluss des offiziellen zweijährigen Stipendiumprogramms - bei Bedarf - als Ansprechpartner bei schulischen und erzieherischen Fragen zur Seite zu stehen und ihnen dabei zu helfen, eine erfolgreiche Schullaufbahn für ihre Kinder zu realisieren. Ein weiteres Ziel ist es, den Familien die Stadt als Bildungs-, Kultur-  und Freizeitort zu erschließen. Mit Unterstützung ehrenamtlicher Bildungspaten können beide Zielsetzungen realisiert werden: Es gibt ein breites Angebot an Beratung, Austausch und gemeinsamen Aktivitäten, das von vielen Familien angenommen wird. Dadurch hat sich das Alumni-Netzwerk zum zentralen Baustein für eine kontinuierliche Kontaktpflege nach Beendigung des Stipendiumsprogramms entwickelt.

Sachstand 06/2022: Stipendienprogramm und Alumni „leben“ von einem großen Netzwerk institutioneller Partner, der konstruktiven Zusammenarbeit mit den Schulen – vor allem aber von gemeinsamen Aktivitäten und neuen (Lern-)Erfahrungen mit den Familien. Die auf diesem Wege gewonnenen Kompetenzen kommen nicht nur den Stipendiatenkindern, sondern allen Familienangehörigen zugute. Eine bedeutende Rolle spielt dabei die Kommunikation zwischen den Familien unterschiedlicher Nationalitäten, weil hier Barrieren überwunden werden und eine familiäre Isolation gemindert bzw. aufgebrochen werden kann. Hinzu kommt, dass die meisten Familien in sehr bescheidenen Verhältnissen leben..Ausflüge zu Zeche Zollern oder zur DASA ebenso wie Museums- und Zoobesuche können sich die Familien selten oder gar nicht leisten. Gleiches gilt für Theater- oder Musikveranstaltungen. Zum Schuljahr 2022/23 wechselt die vierte Generation ins Alumni-Netzwerk, das sich dann auf über 270 große und kleine Menschen bezieht. Zeitgleich geht die fünfte Stipendiatengeneration an den Start. 

Sachstand 08/2023: Zum Schuljahr 2024/25 wechselt die fünfte Generation ins Alumni-Netzwerk, das sich dann auf rund 400 große und kleine Menschen bezieht. Diese 78 Alumni-Familien kommen aus insgesamt 27 Herkunftsländern und sprechen 29 verschiedene Familiensprachen. In diesem Jahr durften wir den ersten ehemaligen Diesterweg-Stipendiaten zum Abitur gratulieren. Wir sind mit den Familien im Austausch und sind gespannt den weiteren Bildungsweg dieser jungen Menschen zu verfolgen. 

Sachstand 03/2025: Das Diesterweg-Stipendium und ""Vast Vasteste"" laufen aktuell zwar weiter, werden allerdings nicht mehr über ""nordwärts"" finanziert.";;;;;;;;;;;;;;;;Dortmund
