Geografische Koordinaten;ID;Spielgerätename;Spielgeräteart;Stadtbezirk Nr.;Stadtbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Unterbezirk Nr.;Unterbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum
51.5123791906, 7.324235527;21;Wipptier 2;Wippen;7;Lütgendortmund;730;Lütgendortmund;732;Deipenbeck;101;Lütgendortmund;;
51.4829835698, 7.3655801221;29;Bolzplatz;Ballsportanlagen;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.4828264119, 7.365593081;30;Bolzplatztor 1;Bolzplatztore;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.4830795881, 7.3655644553;31;Bolzplatztor 2;Bolzplatztore;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.5326644911, 7.5535840313;119;Bolzplatztor 1;Bolzplatztore;3;Brackel;320;Brackel;321;Brackeler Feld;062;Brackel;;
51.4924880439, 7.5344425871;123;Sandspiel mit 2x Sandaufzüge;Sandspielgeräte;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;Schüren;;
51.4932780307, 7.5808965496;124;Hangrutsche;Rutschen;4;Aplerbeck;440;Sölde;441;Sölde-Nord;074;Sölde/Sölderholz;;
51.5656973763, 7.5363677196;150;Doppelwippe;Wippen;2;Scharnhorst;220;Hostedde;222;Hostedde;051;Derne/Hostedde/Kirchderne/Grevel;;
51.5645362705, 7.3926809735;152;Schwingbogen 2;Wippen;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5645070486, 7.3926742705;153;Schwingbogen 1;Wippen;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5646401638, 7.3924748172;155;Kletternetz;Klettergeräte;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5166890775, 7.4905802419;159;Hangrutsche;Rutschen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5166385646, 7.4908845118;162;Tischtennisplatte;Tischtennisplatten;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5017517597, 7.4484502637;168;Breitenrutsche mit Podest;Rutschen;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.5016895502, 7.4476443292;170;Kletterturm mit Rutsche;Klettergeräte;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.501577076, 7.4476222425;171;Kletterwürfel mit Hängebrücke;Klettergeräte;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.50150619, 7.447611697;172;TT-Platte;Tischtennisplatten;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.5016456994, 7.4482255409;173;Wasserspielanlage;Wasserspielanlagen Pumpen Rinnen;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.513156576, 7.4976292305;175;Backtisch blau;Motorikspiele;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5135597403, 7.4974884009;176;Schaukel;Schaukeln / Nestschaukeln;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5131121796, 7.4975774237;180;"Federwippe ""Elefant""";Wippen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5660607147, 7.3850247008;181;Doppelwippe;Wippen;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5311192742, 7.4520800197;185;Sandspielgerät;Sandspielgeräte;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5326410042, 7.3958629925;187;Spielhäuschen;Spielhäuser;8;Huckarde;820;Huckarde;822;Erpinghofsiedlung;111;Deusen/Huckarde;;
51.5231641125, 7.4184695903;189;Drehscheibe;Drehteller (Conlastic Schale u. ä. );8;Huckarde;820;Huckarde;825;Insterburgsiedlung;111;Deusen/Huckarde;;
