uid;lat;lng;Standort;spot;Stationsnummer;Gebuchte Fahrräder;Anzahl verfügbare Fahrräder;bikes_available_to_rent;Fahrradstellplätze;Freie Stellplätze;terminal_type;Fahrradnummern;bike_types;place_type;bike;rack_locks;maintenance;GeoPunkt
339456;49.490685;8.475705;Gewerkschaftshaus;1;25006;1;1;;8;7;stele;430582;"{""150"":1}";0;"{""@number"": ""430582"", ""@bike_type"": ""150"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551062300"", ""@pedelec_battery"": """"}";;1;49.490685, 8.475705
339457;49.489559;8.480297;Theresienkrankenhaus;1;25007;1;1;;6;5;stele;431003;"{""150"":1}";0;"{""@number"": ""431003"", ""@bike_type"": ""150"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551145271"", ""@pedelec_battery"": """"}";;;49.489559, 8.480297
339461;49.485357;8.47665;Kongresszentrum Rosengarten;1;25009;0;2;2;12;9;stele;430705,431583;"{""150"":1,""196"":1}";0;"[{""@number"": ""430705"", ""@bike_type"": ""150"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551130870"", ""@pedelec_battery"": """"}, {""@number"": ""431583"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551110441"", ""@pedelec_battery"": """"}]";;;49.485357, 8.47665
339464;49.489012;8.462997;E4 - Rathaus;1;25012;0;1;1;8;7;stele;431714;"{""196"":1}";0;"{""@number"": ""431714"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551146728"", ""@pedelec_battery"": """"}";;;49.489012, 8.462997
339465;49.483245;8.474793;Kunsthalle;1;25013;0;2;2;8;6;stele;430004,431615;"{""196"":2}";0;"[{""@number"": ""430004"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551164099"", ""@pedelec_battery"": """"}, {""@number"": ""431615"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551138292"", ""@pedelec_battery"": """"}]";;;49.483245, 8.474793
339466;49.491183;8.462391;G7 - Westliche Unterstadt;1;25014;1;1;;6;5;stele;432089;"{""196"":1}";0;"{""@number"": ""432089"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551160469"", ""@pedelec_battery"": """"}";;;49.491183, 8.462391
339473;49.4846;8.463464;L1 - Schloss;1;25017;0;1;1;20;19;stele;430017;"{""71"":1}";0;"{""@number"": ""430017"", ""@bike_type"": ""71"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551112786"", ""@pedelec_battery"": """"}";;;49.4846, 8.463464
339475;49.47996;8.469749;Hauptbahnhof Mannheim;1;25018;0;1;1;60;58;smart_sign;42742;"{""150"":1}";0;"{""@number"": ""42742"", ""@bike_type"": ""150"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551171394"", ""@pedelec_battery"": """"}";;;49.47996, 8.469749
339481;49.479502;8.495221;Oststadt - Luisenpark;1;25021;0;4;4;8;4;stele;42889,430833,430639,432505;"{""150"":1,""196"":3}";0;"[{""@number"": ""42889"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551169376"", ""@pedelec_battery"": """"}, {""@number"": ""430833"", ""@bike_type"": ""150"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551060576"", ""@pedelec_battery"": """"}, {""@number"": ""430639"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""7551142157"", ""@pedelec_battery"": """"}, {""@number"": ""432505"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""83300007933"", ""@pedelec_battery"": """"}]";;;49.479502, 8.495221
339487;49.485371;8.469493;N5 - Kapuzinerplanken;1;25025;1;1;;6;5;stele;432426;"{""196"":1}";18;"{""@number"": ""432426"", ""@bike_type"": ""196"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@state"": ""ok"", ""@electric_lock"": ""1"", ""@boardcomputer"": ""83300007870"", ""@pedelec_battery"": """"}";1;;49.485371, 8.469493
