Grundschulempfehlungen der angemeldeten/aufgenommenen Sch¸ler zur Jahrgangsstufe 5 Schuljahr 2024/25;;;;;;;;;;;;;
Schule;Hauptschule;;Hauptschule / eingeschr. RS;;Realschule;;Realschule / eingeschr. Gymnasium;;Gymnasium;;Ohne Schulformempfehlung;;Insgesamt
;Anzahl;in %;Anzahl;in %;Anzahl;in %;Anzahl;in %;Anzahl;in %;Anzahl;in %;Anzahl
Sekundarschule;30;38;19;24,1;18;22,8;3;3,8;0;0;9;11,4;79
Christian-Rohlfs-Realschule;1;0,9;17;15,9;71;66,4;15;14;1;0,9;2;1,9;107
Aldegrever-Gymnasium;0;0;0;0;2;1,6;26;21,1;94;76,4;1;0,8;123
Archigymnasium;0;0;0;0;12;13,2;11;12,1;67;73,6;1;1,1;91
Conrad-von-Soest-Gymnasium;0;0;0;0;14;14,7;18;18,9;63;66,3;0;0;95
Hannah-Arendt-Gesamtschule;11;10,1;16;14,7;54;49,5;14;12,8;7;6,4;7;6,4;109
Insgesamt;42;7;52;8,6;171;28,3;87;14,4;232;38,4;20;3,3;604
Datenquelle: Stadt Soest, Abteilung Schule und Sport;;;;;;;;;;;;;
