id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
1;;;"1. FC Union Berlin e.V.";"Der 1. FC Union Berlin, kurz Union Berlin, ist ein Fußballverein aus dem Berliner Ortsteil Köpenick.";;"Ermäßigungen bei allen Fußballspielen im Stadion An der Alten Försterei. Das Angebot ist erhältlich bei Vorlage des Nachweises in den Union-Zeughäusern, solange der Vorrat reicht. ab 9 Euro (je nach Verfügbarkeit der Kategorie)";http://www.fc-union-berlin.de/de/;"An der Wuhlheide 263";"12555 Berlin";nein;Sport;"Kinder, Erwachsene, Familie, Senioren";;;"Petra Mattuscheck";petra.mattuscheck@fc-union-berlin.de;;;;"2024-11-28 15:22:34";"2025-05-15 11:53:17"
2;;;"ACTivity Schauspielschule";"Schauspielschule in Potsdam, Babelsberg";;"10 Euro Ermäßigung auf die Unterrichtsgebühren";www.activityschauspielschule.de;"Hegelallee 53";"14467 Potsdam";nein;"Bildung & Beratung";"Kinder, Familie";;;;info@activityschauspielschule.de;;;;"2024-11-29 15:22:34";"2025-05-15 11:54:32"
3;;;ACUDkino;"Gemütliches Art-House-Kino mit europäischen und Independent-Filmen und einem fantasievoll dekorierten Innenhof.";;"Ermäßigter Eintritt zu allen Kinovorstellungen: Erwachsene 7 Euro, Kinder/Jugendliche bis 12 Jahre 4 Euro";https://acudkino.de/;"Veteranenstraße 21";"10119 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;kino@acudkino.de;;;;"2024-11-30 15:22:34";"2025-05-15 11:55:10"
4;;;"Adria Filmtheater";"Kino in Berlin Steglitz";;"ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett";https://www.cineplex.de/;"Schloßstraße 48";"12165 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;"Markus Kühlmorgen";markus.kuehlmorgen@cineplex.de;;;;"2024-12-01 15:22:34";"2025-05-15 11:56:07"
5;;;"Ägyptisches Museum und Papyrussammlung";"Die Sammlung des Ägyptischen Museums und Papyrussammlung umfasst Meisterwerke der unterschiedlichen Epochen Altägyptens.
Statuen, Reliefs und Objekte der Kleinkunst sowie monumentale Werke der ägyptischen Architektur geben Zeugnis der Zeit von 3000 v. Chr. bis in die Zeit der Römer.";;"freier Eintritt für alle Besucher*innen";https://www.smb.museum/aemp;"Bodestraße 1-3";"10178 Berlin";ja;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;kommunikationHV@hv.spk-berlin.de;;;;"2024-12-02 15:22:34";"2025-04-25 12:15:31"
6;;;"Akademie der Künste";"Die Berliner Akademie der Künste ist eines der ältesten europäischen Kulturinstitute mit einer internationalen Gemeinschaft von Künstlern";;"ermäßigter Eintritt | variiert je nach Veranstaltung/Ausstellung 3 bis 12 Euro je nach Veranstaltung bzw. Ausstellung";https://www.adk.de/;"Pariser Platz 4";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren";;;;koenig@adk.de;;;;"2024-12-03 15:22:34";"2025-05-22 16:11:11"
7;;;"Alice - Museum für Kinder im FEZ-Berlin";"Das Alice - Museum für Kinder im FEZ-Berlin erarbeitet seit über zehn Jahren erfolgreich Ausstellungen zum Mitmachen für Kinder, Jugendliche und Familien.";;"Ermäßigter Eintritt für Nachweis-Inhaber*innen. Bitte an der Kasse melden.";https://alice-museum-fuer-kinder.fez-berlin.de/;"Straße zum FEZ 2";"12459 Berlin";nein;Kultur;"Kinder, Familie";;;"Marion Gusella";M.Gusella@FEZ-Berlin.de;;;;"2024-12-04 15:22:34";"2025-05-22 16:12:27"
8;;;AlliiertenMuseum;"Das AlliiertenMuseum ist ein Museum in Berlin. Es dokumentiert das Engagement und die Rolle der Westalliierten in der Bundesrepublik Deutschland und West-Berlin in der Zeit von 1945 bis 1994 und deren Beitrag zur Freiheit Berlins.";;"freier Eintritt, Offene Führung jeden 1. Sonntag um 15 Uhr";www.alliiertenmuseum.de;"Clayallee 135";"14195 Berlin";ja;Kultur;"Erwachsene, Senioren";;;;schult@alliiertenmuseum.de;;;;"2024-12-05 15:22:34";"2025-05-22 16:13:11"
9;;;"Alte Nationalgalerie";"Die Alte Nationalgalerie ist das Stammhaus der Nationalgalerie Berlin. Sie verwahrt derzeit etwa 2.000 Gemälde und eben soviele Skulpturen.";;"freier Eintritt";https://www.smb.museum/ang;"Bodestraße 1-3";"10178 Berlin";ja;Kultur;"Erwachsene, Senioren";;;"Constanze Musterer";info@smb.museum.de;;;;"2024-12-06 15:22:34";"2025-06-06 10:54:22"
10;;;"Altes Museum";"Karl Friedrich Schinkels Altes Museum zählt zu den bedeutendsten Bauwerken des Klassizismus. Heute beherbergt das Haus die Antikensammlung.";;"freier Eintritt";https://www.smb.museum/am;"Bodestraße 1-3";"10178 Berlin";ja;Kultur;"Erwachsene, Senioren";;;;kommunikation@hv.spk-berlin.de;;;;"2024-12-07 15:22:34";"2025-04-25 11:10:54"
