;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Copyright:
Bundeszentralamt für Steuern
Bonn, Deutschland
15.04.2025
";;;;;;;;;;
Ursprünglicher Anbieter;Anbieteranschrift;Produktname;Aktueller Inhaber des Zertifikats;Typ;"Zertifizierungs-
nummer";"wirksam
ab";Verzicht ab;Widerruf ab;Rücknahme ab;
;;SIGNAL IDUNA Global Garant Invest - SIGGI - Basis-Rente;SIGNAL IDUNA Lebensversicherung AG;B;006472;15.03.2022;;;;
Aachener Bank eG;"Theaterstr. 5
52062 Aachen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Aachener Bank eG;A;001604;01.01.2002;;;;
Aachener Bank eG;"Theaterstr. 5
52062 Aachen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Aachener Bank eG;A;001216;01.01.2002;;;;
Aachener Bank eG;"Theaterstr. 5
52062 Aachen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Aachener Bank eG;A;000831;01.01.2002;;;;
Aachener Bausparkasse AG;"Theaterstr. 92-94
52062 Aachen";Bausparvertrag Tarif R;Wüstenrot Bausparkasse Aktiengesellschaft;A;004468;17.04.2009;01.01.2017;;;
Aachener Bausparkasse Aktiengesellschaft;"Theaterstraße 92 - 94
52062 Aachen";Altersvorsorge-Bauspardarlehensvertrag;Wüstenrot Bausparkasse Aktiengesellschaft;A;005635;18.07.2011;01.01.2017;;;
Aachener Bausparkasse Aktiengesellschaft;"Theaterstraße 92 - 94
52062 Aachen";Bausparvertrag Tarif G;Wüstenrot Bausparkasse Aktiengesellschaft;A;005756;19.09.2012;01.01.2017;;;
Aachener und Münchener Lebensversicherung AG;"Postfach 26
52001 Aachen";Privat-RENTE mit Garantie nach Tarif 1RG (RenteErtrag);Generali Deutschland Lebensversicherung AG;A;000133;01.01.2002;01.12.2012;;;
Aachener und Münchener Lebensversicherung AG;"Postfach 26
52001 Aachen";Privat-RENTE mit Garantie nach Tarif 2RG (RenteWachstum);Generali Deutschland Lebensversicherung AG;A;000134;01.01.2002;01.12.2012;;;
Aachener und Münchener Lebensversicherung AG;"Postfach 26
52001 Aachen";Privat-RENTE mit Garantie nach Tarif 3RG (RenteChance);Generali Deutschland Lebensversicherung AG;A;000135;01.01.2002;01.12.2012;;;
Aachener und Münchener Lebensversicherung AG;"Postfach 26
52001 Aachen";Privat-RENTE mit Garantie nach Tarif 1RG, 2RG und 3RG;Generali Deutschland Lebensversicherung AG;A;000162;01.01.2002;01.12.2012;;;
Aachener und Münchener Lebensversicherung AG;"Robert-Schuman-Str. 51
52066 Aachen";Privat-RENTE mit Garantie nach Tarif 1RG (RenteErtrag);Generali Deutschland Lebensversicherung AG;A;003684;01.08.2002;01.01.2006;;;
