Hauptzollamt;Kreditinstitut;IBAN;BIC
Augsburg;Bundesbank - Filiale Regensburg;DE18 7500 0000 0075 0010 21;MARKDEF1750
Bielefeld;Bundesbank - Filiale Saarbrücken;DE20 5900 0000 0059 0010 51;MARKDEF1590
Braunschweig;Bundesbank - Filiale Leipzig;DE12 8600 0000 0086 0011 20;MARKDEF1860
Bremen;Bundesbank - Filiale Hamburg;DE41 2000 0000 0020 0010 40;MARKDEF1200
Darmstadt;Bundesbank - Filiale Leipzig;DE88 8600 0000 0086 0011 10;MARKDEF1860
Dortmund;Bundesbank - Filiale Saarbrücken;DE90 5900 0000 0059 0010 52;MARKDEF1590
Dresden;Bundesbank - Filiale Leipzig;DE33 8600 0000 0086 0011 30;MARKDEF1860
Duisburg;Bundesbank - Filiale Saarbrücken;DE63 5900 0000 0059 0010 53;MARKDEF1590
Frankfurt (Oder);Bundesbank - Filiale Hamburg;DE14 2000 0000 0020 0010 41;MARKDEF1200
Gießen;Bundesbank - Filiale Leipzig;DE54 8600 0000 0086 0011 40;MARKDEF1860
Hamburg-Stadt;Bundesbank - Filiale Hamburg;DE84 2000 0000 0020 0010 42;MARKDEF1200
Hannover;Bundesbank - Filiale Leipzig;DE75 8600 0000 0086 0011 50;MARKDEF1860
Heilbronn;Bundesbank - Filiale Regensburg;DE45 7500 0000 0075 0010 20;MARKDEF1750
Itzehoe;Bundesbank - Filiale Hamburg;DE57 2000 0000 0020 0010 43;MARKDEF1200
Karlsruhe;Bundesbank - Filiale Saarbrücken;DE36 5900 0000 0059 0010 54;MARKDEF1590
Kiel;Bundesbank - Filiale Hamburg;DE30 2000 0000 0020 0010 44;MARKDEF1200
Köln;Bundesbank - Filiale Saarbrücken;DE09 5900 0000 0059 0010 55;MARKDEF1590
Krefeld;Bundesbank - Filiale Saarbrücken;DE79 5900 0000 0059 0010 56;MARKDEF1590
Magdeburg;Bundesbank - Filiale Leipzig;DE96 8600 0000 0086 0011 60;MARKDEF1860
München;Bundesbank - Filiale Regensburg;DE56 7500 0000 0075 0010 16;MARKDEF1750
Münster;Bundesbank - Filiale Saarbrücken;DE52 5900 0000 0059 0010 57;MARKDEF1590
Nürnberg;Bundesbank - Filiale Regensburg;DE83 7500 0000 0075 0010 15;MARKDEF1750
Oldenburg;Bundesbank - Filiale Hamburg;DE03 2000 0000 0020 0010 45;MARKDEF1200
Osnabrück;Bundesbank - Filiale Hamburg;DE73 2000 0000 0020 0010 46;MARKDEF1200
Regensburg;Bundesbank - Filiale Regensburg;DE13 7500 0000 0075 0010 14;MARKDEF1750
Saarbrücken;Bundesbank - Filiale Saarbrücken;DE25 5900 0000 0059 0010 58;MARKDEF1590
Schweinfurt;Bundesbank - Filiale Regensburg;DE67 7500 0000 0075 0010 12;MARKDEF1750
Singen;Bundesbank - Filiale Regensburg;DE94 7500 0000 0075 0010 11;MARKDEF1750
Stralsund;Bundesbank - Filiale Hamburg;DE46 2000 0000 0020 0010 47;MARKDEF1200
Ulm;Bundesbank - Filiale Regensburg;DE51 7500 0000 0075 0010 09;MARKDEF1750
