Entwicklung der Patentanmeldungen mit Wirkung für Deutschland1) in ausgewählten Gebieten der erneuerbaren Energien nach Veröffentlichungsjahr;;;;;;;;;;
Technologiegebiet2);2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Solartechnik3);768;623;498;478;455;465;415;430;450;597
Windkraftmaschinen4);648;579;490;510;540;604;631;575;528;540
Wasserkraft, Wellen, Gezeiten5);80;62;69;56;53;53;37;26;33;47
Erdwärme, Biogas, andere Energiequellen6);146;140;111;92;86;85;85;81;77;105
1) Von DPMA und EPA veröffentlichte Anmeldungen unter Vermeidung von Doppelzählungen.;;;;;;;;;;
2) Zum Abfragezeitpunkt gültige IPC-Klassen anteilig gezählt. Kein Anspruch auf Vollständigkeit. Ergebnisse können auch andere Anwendungen enthalten.;;;;;;;;;;
3) B60L 53/51, C02F 1/14, E04D 13/18, F03G 6, F24J 2, F24S, G05F 1/67, H01L 31/04 bis H01L 31/078, H02J 7/35, H02N 6, H02S, H10K 30/50 bis H10K 30/57, H10K 39/10 bis H10K 39/18.;;;;;;;;;;
4) B60L 53/52, F03D.;;;;;;;;;;
5) F03B 7, F03B 13/10 bis F03B 13/26.;;;;;;;;;;
6) C02F 11/00, C12M 1/107, C12M 1/113, C12P 5/02, F03G 3, F03G 4, F03G 7/00 bis F03G 7/08, F24J 3, F24T 10, F24T 50, F24V 40, F24V 50, F24V 99.;;;;;;;;;;
Stand: Februar 2024;;;;;;;;;;
