"Bescheid-Nr.
Notice-no."; "Bezeichnung des Stoffes oder Gegenstandes
Name (trade name) of the substance or article"; "Identifikation
Identification"; "Lagergruppe+Verträglichkeitsgruppe
Storage group+compatibility group"; "Sicherheitsrelevante Verpackungsmerkmale
Safety-relevant packaging characteristics (some only in German)"
 "D/BAM-0979/22"; "H110"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-1092/24"; "Riodin HE"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1054/24"; "Ramshot Grand"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0883/24"; "POLADYN 31 ECO"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0368/24"; "Implosive Verbinder für Freileitungen"; ""; "1.2D"; "In folgender besonderen Verpackung:
 Innen:
Umwicklung aus Wellpappe

Zwischen:
nicht erforderlich

Außen:
Kiste aus Naturholz, einfach (UN4C1),
beinhaltet maximal 6 Stück Implosive Verbinder für Freileitungen"
"D/BAM-0666/24"; "Lawinensprengladung LM2700 und Lawinensprengladung LM5400(jeweils ohne Sicherheitsanzündschnur und Sprengkapsel)"; ""; "1.1E"; "In folgender besonderen Verpackung:
 Innen: nicht erforderlich

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet entweder maximal 15 Stück ""Lawinensprengladung LM2700"" (ohne Sicherheitsanzündschnur und Sprengkapsel) oder

alternativ

maximal 5 Stück ""Lawinensprengladung LM5400"" (ohne Sicherheitsanzündschnur und Sprengkapsel)"
"D/BAM-0668/24"; "S-Load(ohne Sicherheitsanzündschnur und Sprengkapsel)"; ""; "1.1E"; "In folgender besonderen Verpackung:
 Innen: nicht erforderlich

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 5 Stück ""S-Load"" (ohne Sicherheitsanzündschnur und Sprengkapsel)"
"D/BAM-0664/24"; "Lawinensprengladung LW2700 und Lawinensprengladung LW5400(jeweils ohne Sicherheitsanzündschnur und Sprengkapsel)"; ""; "1.1E"; "In folgender besonderen Verpackung:
 Innen: nicht erforderlich

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet entweder maximal 15 Stück ""Lawinensprengladung LW2700"" (ohne Sicherheitsanzündschnur und Sprengkapsel) oder

alternativ

maximal 5 Stück ""Lawinensprengladung LW5400"" (ohne Sicherheitsanzündschnur und Sprengkapsel)"
"D/BAM-0751/24"; "Anzündhütchen 5,33 mm Sinoxid oder Sintox in 1.1B"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Verpackung 1:
Innen: max. 1000 Anzündhütchen (ANZDH) in einem Behälter aus Plastik (Kassette)
Zwischen: nicht erforderlich
Außen: max. 70 Innenverpackungen in einer Kiste aus Aluminium (4B)

Verpackung 2:
Innen: max. 1000 ANZDH in einem Behälter aus Plastik
Zwischen: max. 5 Innenverpackungen in einer Schachtel aus Pappe
Außen: max. 10 Zwischenverpackungen in einer Kiste aus Pappe (4G)"
"D/BAM-0701/23"; "Titewad (OBP-132)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0539/24"; "HOHLLADUNGEN, ohne Zündmittel"; "Bescheid mit Anlage"; "1.4D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0236/24"; "Shaped Charge DynaSlot 2.0 26g"; ""; "1.4D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0706/23"; "Longshot (OBP 473)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0713/23"; "AutoComp (SMP 224)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0708/23"; "CFE Pistol (SMP 222)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
