Geo Point;Name;Träger;Gartentyp;Adresse;Stadtbezirk Nr;Stadtbezirk;Statistischer Bezirk Nr;Statistischer Bezirk;Unterbezirk Nr;Unterbezirk;Sozialraum;Aktionsraum Nr;Aktionsraum;Rechtswert;Hochwert;Kommune
51.50260726312996, 7.445998408846054;;;;;10;Innenstadt-West;010;Westfalenhalle;013;Tremonia;012;;;392141.61;5706864.01;Dortmund
51.48595772614816, 7.424346076545914;;;;;6;Hombruch;640;Eichlinghofen;642;Universität;091;;;390599.019;5705044.647;Dortmund
51.51260999258594, 7.452559075989587;;;;;10;Innenstadt-West;020;Dorstfelder Brücke;021;Westpark;013;Dorstfelder Brücke;013;392620.46;5707966.71;Dortmund
51.501651185525915, 7.443327074706241;;;;;10;Innenstadt-West;010;Westfalenhalle;013;Tremonia;012;;;391953.95;5706761.63;Dortmund
51.46376682861947, 7.493307443359392;;;;;5;Hörde;560;Wellinghofen;562;Durchstraße;081;;;395336.12;5702476.13;Dortmund
51.510789558834695, 7.471809493190401;;;;;10;Innenstadt-West;000;City;004;Cityring-Ost;011;;;393951.98;5707736.2;Dortmund
51.5715660502124, 7.382623115786433;;;;;9;Mengede;920;Mengede;923;Mengede-Mitte;122;;;387912.73;5714627.8;Dortmund
51.546938666255045, 7.427306390421265;;;;;8;Huckarde;810;Deusen;810;Deusen;111;;;390950.292;5711821.566;Dortmund
51.472989860404574, 7.463299027676882;;;;;6;Hombruch;680;Rombergpark-Lücklemberg;681;Rombergpark;091;;;393273.19;5703545.08;Dortmund
51.53821086324011, 7.615517065473015;;;;;3;Brackel;340;Wickede;342;Wickede Dorf;064;;;403981.735;5710587.188;Dortmund
51.52068282673515, 7.451854302144609;;;;;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;021;Hafen;021;392590.55;5708865.48;Dortmund
51.53097071396313, 7.4177636280866714;;;;;8;Huckarde;820;Huckarde;824;Huckarde;111;;;390250.233;5710060.127;Dortmund
51.51435396358691, 7.411552850081794;;;;;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;014;Dorstfeld;014;389779.34;5708221.61;Dortmund
51.49181679628622, 7.463396190119544;;;;;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;032;;;393323.88;5705638.57;Dortmund
51.52292582355098, 7.449879528106742;;;;;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;021;Hafen;021;392458.833;5709117.812;Dortmund
51.53180860799322, 7.595737709694691;;;;;3;Brackel;310;Asseln;311;Asselburg;061;;;402596.37;5709901.36;Dortmund
