Geo Point;Geo Shape;Kommune;Gewerbegebiet;Größe;Verfügbarkeit;Art;Exposelink;blockiert;Frei parzellierbar;Geplant;24h-Betrieb;code
51.1044543900653, 6.589625306457635;"{""coordinates"": [[[6.589631017646773, 51.10445103093298], [6.589611750580559, 51.104459086194595], [6.589633151145573, 51.10445305306831], [6.589631017646773, 51.10445103093298]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;0;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080026
51.10404621945099, 6.590607914160714;"{""coordinates"": [[[6.59060027288888, 51.10404568831056], [6.590558019731175, 51.104060823151165], [6.59064535753636, 51.104041761892596], [6.590635077216249, 51.10403885867829], [6.59060027288888, 51.10404568831056]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;1;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080026
51.10412547960358, 6.590398944325089;"{""coordinates"": [[[6.590275650491288, 51.10417414703048], [6.590278367895023, 51.10417851960694], [6.590558019731175, 51.104060823151165], [6.590516552599345, 51.10407444518033], [6.590275650491288, 51.10417414703048]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;9;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080026
51.10489634004931, 6.592513551293873;"{""coordinates"": [[[6.592370984366227, 51.10501404640067], [6.592683690611574, 51.10484064034836], [6.5926814645863, 51.10476451331166], [6.592314133585155, 51.1049724055656], [6.592370984366227, 51.10501404640067]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;200;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080026
51.105953898811364, 6.591639393684945;"{""coordinates"": [[[6.591696220230452, 51.106279343594494], [6.592150395861688, 51.10602534566455], [6.591581379604531, 51.10562776393942], [6.591129140741047, 51.10588362255615], [6.591696220230452, 51.106279343594494]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;2528;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080026
51.10499807938461, 6.591464532598754;"{""coordinates"": [[[6.590750366999812, 51.10481761413983], [6.590750402034108, 51.10485996807292], [6.590775838729693, 51.104898619549466], [6.591357196042225, 51.105444378896586], [6.591409498653013, 51.105476120370575], [6.591478094906424, 51.105491291969585], [6.591550986005207, 51.10548730927022], [6.59161377375199, 51.105464683853725], [6.592136161157696, 51.10516908478472], [6.592176033779896, 51.10513627536056], [6.592192506187263, 51.10509588005057], [6.592184270432737, 51.105054886251295], [6.592151273515721, 51.10501886675146], [6.591530985913721, 51.104564748692844], [6.591424397211998, 51.104528111736485], [6.591306053156469, 51.10454536556761], [6.590822967942758, 51.104748972020786], [6.590775948324158, 51.10477875558901], [6.590750366999812, 51.10481761413983]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;6318;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080026
51.10589974981365, 6.591004704656628;"{""coordinates"": [[[6.590565204456818, 51.10609446362535], [6.590657479402804, 51.10615040904016], [6.591434276883494, 51.1057109671179], [6.59136261827328, 51.1056436676125], [6.590565204456818, 51.10609446362535]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;661;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080026
51.102689716518, 6.5894331466374565;"{""coordinates"": [[[6.58943148475418, 51.102689571926526], [6.589431432651894, 51.10268959561772], [6.589436522506293, 51.102689982009764], [6.58943148475418, 51.102689571926526]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;0;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080026
51.103174108286055, 6.589142602380356;"{""coordinates"": [[[6.589004280141034, 51.10288157679147], [6.588767497706869, 51.10298254078818], [6.589280643244932, 51.10346646388102], [6.58951787843, 51.103365825280186], [6.589004280141034, 51.10288157679147]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;1297;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080026
51.10354295565238, 6.588275124905838;"{""coordinates"": [[[6.58796676910701, 51.10332396240964], [6.58792644463222, 51.10334119807598], [6.588438808635987, 51.10382357357611], [6.588623937043, 51.103745042519655], [6.588111473326236, 51.103262262890695], [6.58796676910701, 51.10332396240964]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;1010;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080026
51.10578746351396, 6.59193529477369;"{""coordinates"": [[[6.592150395861688, 51.10602534566455], [6.592289523339632, 51.105947538058906], [6.59172010194228, 51.1055494232097], [6.591581379604531, 51.10562776393942], [6.592150395861688, 51.10602534566455]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;776;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080026
51.10406903088585, 6.590784465982222;"{""coordinates"": [[[6.59064535753636, 51.104041761892596], [6.590926619153502, 51.1041218357091], [6.590777891380117, 51.10404836082415], [6.59064535753636, 51.104041761892596]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;43;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080026
51.106438485259574, 6.590879534461104;"{""coordinates"": [[[6.591039343348615, 51.10662603370457], [6.591054311976194, 51.106638322744125], [6.591144154284389, 51.10658808024758], [6.590898598004844, 51.1064498739004], [6.590542696269059, 51.10612178544585], [6.590518976253982, 51.10613163742865], [6.591039343348615, 51.10662603370457]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;229;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080026
51.103530919673815, 6.591412114666419;"{""coordinates"": [[[6.59137438081361, 51.10356073170896], [6.591441506524901, 51.103533029886556], [6.591429404421393, 51.10350395285451], [6.591407237593442, 51.10351245050888], [6.59137438081361, 51.10356073170896]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;12;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080026
