st_transform,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel,id,reinigungsklasse,fahrbahnwinterdienst,laenge,kehrmeter,kehrmeter_pro_jahr
"MULTILINESTRING ((12.122903 54.08338,12.123045 54.083086,12.123197 54.082821,12.12328 54.082418))",4ab7af09-8d1c-402e-860b-5d52442bcf92,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kräwtweg,"06230",0000006230-001,6,C,110.33,255.15,13267.76
"MULTILINESTRING ((12.117056 54.103125,12.119498 54.102607,12.119623 54.102556,12.120709 54.102045,12.122058 54.10141,12.122688 54.10111,12.124753 54.100132,12.125611 54.099695,12.125715 54.099639,12.126223 54.099396,12.126839 54.099121))",7594531c-a91d-4473-ba8b-367435519829,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Drostenstr.,"01950",0000001950-001,7,C,787.36,1820.85,47342.07
"MULTILINESTRING ((12.084034 54.173959,12.084292 54.173553,12.084668 54.172959))",c60235b8-55cc-4ab1-92fe-25ba85afe8e5,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stephan-Jantzen-Str.,"08740",0000008740-001,6,C,118.76,274.64,14281.51
"MULTILINESTRING ((12.14066 54.123719,12.141397 54.12442,12.141729 54.124729,12.142331 54.124353,12.142566 54.124215,12.14279 54.124085,12.142923 54.123983,12.143311 54.123738,12.143785 54.123465,12.144296 54.123166,12.14439 54.123174,12.144879 54.12346,12.14569 54.123832,12.146487 54.124192),(12.141729 54.124729,12.141577 54.124831,12.141527 54.124897,12.141518 54.124979,12.141548 54.125058,12.141663 54.125141,12.142166 54.125443,12.14326 54.126083),(12.142166 54.125443,12.142575 54.125216,12.143136 54.124881,12.143312 54.12478,12.143382 54.124735,12.143439 54.124682,12.143443 54.124627,12.143332 54.124457,12.143323 54.124405,12.14336 54.124347,12.143866 54.124046,12.144879 54.12346))",63349b8c-26a9-443c-906a-433aa04bd2a2,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hafenbahnweg,"03250",0000003250-001,7,B,1057.87,2446.43,63607.18
"MULTILINESTRING ((12.147386 54.086432,12.15155 54.084406),(12.15155 54.084406,12.153353 54.083581,12.155091 54.082876,12.156261 54.082385,12.157281 54.081907,12.158579 54.081492,12.159223 54.08129),(12.154771 54.082785,12.156177 54.082237,12.156368 54.082335))",a6b7d7dd-cc1c-4261-97a1-d9c42a577dad,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Mühlendamm,"07090",0000007090-001,6,A,1092.33,2526.12,131358.36
"MULTILINESTRING ((12.074736 54.099855,12.075864 54.099652,12.076678 54.099493,12.077674 54.099277,12.07822 54.099146,12.079169 54.098888,12.079618 54.098767,12.080717 54.098432))",f524f825-15af-4292-a1d8-73de10379dde,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Ernst-Thälmann-Str.,"02240",0000002240-001,6,B,423.05,978.35,50873.96
"MULTILINESTRING ((12.107256 54.112547,12.107414 54.112605,12.107585 54.112705,12.107716 54.112819,12.107922 54.113018,12.108594 54.113654,12.109759 54.114749,12.109883 54.114875,12.110634 54.116156,12.111279 54.117269,12.111293 54.117372,12.111266 54.117467,12.111178 54.117572))",04aec50b-13b3-4cdf-a633-11db1b199817,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Fedor-Schuchardt-Str.,"11690",0000011690-001,6,A,629.40,1455.55,75688.62
"MULTILINESTRING ((12.106744 54.087922,12.107234 54.087769,12.107341 54.087734,12.108105 54.087495,12.108391 54.087406,12.108907 54.087246,12.109891 54.086944,12.111326 54.086493,12.112714 54.086069,12.113768 54.085738,12.115154 54.085293,12.115438 54.085155,12.115556 54.085017,12.115647 54.084708),(12.104272 54.089437,12.104292 54.089396,12.104754 54.088943,12.105038 54.088662,12.105291 54.08842,12.105335 54.088387,12.105379 54.088358,12.105469 54.088316,12.105573 54.08828,12.106742 54.087923))",a7c9a41c-ca7a-4f8b-9259-32bae7c5e1db,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Ulmenstr.,"02400",0000002400-001,6,A,941.71,2177.80,113245.52
"MULTILINESTRING ((12.074129 54.098677,12.073876 54.098775,12.073659 54.098881,12.073461 54.098954,12.073264 54.099011,12.073038 54.099053,12.07276 54.099068,12.072431 54.099063,12.071851 54.099045,12.071491 54.099024,12.070811 54.098966,12.070339 54.098923,12.069886 54.098865,12.0686 54.098666,12.067393 54.098405),(12.071645 54.098188,12.071487 54.098166,12.071364 54.09816,12.071067 54.098135,12.070946 54.098122,12.070838 54.098113,12.070554 54.098084,12.070065 54.098024,12.069224 54.097888,12.068722 54.097796,12.068473 54.097739,12.068438 54.09772,12.068427 54.097704,12.068431 54.097676,12.068436 54.09762,12.068427 54.097596,12.068412 54.097579,12.068382 54.097563,12.068337 54.097548,12.067948 54.097493))",ace6c8bc-0d79-4beb-b57e-182648ec5b00,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Walter-Stoecker-Str.,"09510",0000009510-001,6,A,728.08,1683.76,87555.41
"MULTILINESTRING ((12.105345 54.065408,12.106579 54.064942),(12.110206 54.068304,12.109905 54.067995,12.108543 54.066749,12.10718 54.065508,12.106579 54.064942,12.105871 54.064381,12.105131 54.063679,12.104656 54.063272,12.104407 54.063057,12.10386 54.062582))",6894f96b-98a3-4912-a17d-7cb120494c5d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Biestower Damm,"01360",0000001360-001,7,A,856.77,1981.37,51515.52
"MULTILINESTRING ((12.099301 54.089139,12.100428 54.090392,12.101039 54.09062))",79a03376-23a0-4c12-8a06-8a5272481a3e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stralsunder Str.,"08790",0000008790-001,6,C,205.13,474.38,24667.95
