Nr.	Kindergarten	Träger	Zeitlicher Umfang	Kostenträger Friesisch	Unterricht durch
1.	Amrum	Elterninitiative Amrum e.V.	Täglich 1 Std.	Kindergartenträger	mehrere Erzieherinnen
2.	Bredstedt	Dansk Bornehavne	1 wöchentlich 0,5 Std.	Kindergartenträger	ruht zur Zeit
3.	Bredstedt Broder-Lorenz-Nissen-Straße	ADS	1 wöchentlich 0,5 Std.	Kindergartenträger	Erzieherin
4.	Bredstedt Gartenstraße	ADS	1 wöchentlich 0,5 Std.	Kindergartenträger	Erzieherin
5.	Bredstedt Kockstraße	ADS	1 wöchentlich 0,5 Std.	Kindergartenträger	mehrere Erzieherinnen
6.	Bredstedt Westerstraße	ADS	1 wöchentlich 0,5 Std.	Kindergartenträger	mehrere Erzieherinnen
7.	Fahretoft	Kirche und Gemeinde Dagebüll	1 wöchentlich 4 Std. 	"NF Heimatverein
Dagebüll"	Sprachpatin
8.	Föhr Midlum	ev. Kirche und Amt Föhr Land	Täglich 1-2 Std.	Kindergartenträger	mehrere Erzieherinnen
9.	Föhr Süderende	ev. Kirche und Amt Föhr Land	2 wöchentlich 4 Std.	Fering Ferian der Patenschaften	Sprachpatin
10.	Föhr Wyk	ev. Kirche und Stadt Wyk	1 wöchentlich 2 Std.	Privatperson	Sprachpatin
11.	Helgoland	ev. Kirche	1 wöchentlich 1 Std.	"Gemeinde und 
Kirche"	ruht zur Zeit
12.	Risum Lindholm	Dansk Borehavne	Täglich 1-2 Std.	Kindergartenträger	Erzieherin
13.	Risum Lindholm, Herrenkroog	ev. Kirche	2 wöchentlich 2 Std.	"Friisk Foriining und Frasche for
Aastermaare"	Sprachpatin
14.	Risum Lindholm, Steege	ev. Kirche	Täglich 1 Std.	Kindergartenträger	Erzieherin
15.	Sylt Hörnum / Rantum	ADS	1 wöchentlich 3 Std.	Sölring Foriining	Sprachpatin
16.	Sylt Keitum	Gemeinnütziger Verein für Jugenderholung	ganztägig	"Kindergartenträger und Sölring 
Foriining"	Erzieherin
17.	Sylt List	ADS	2 wöchentlich 2 Std.	Sölring Foriining	Sprachpatin
18.	Sylt Wenningstedt	Gemeinde Wennigstedt-Braderup	Täglich 1-2 Std-	Kindergartenträger	Erzieherin
