Jahr;Trauform;Anzahl Trautermine
2014;Lebenspartnerschaft;65
2014;Eheschließung;2355
2015;Lebenspartnerschaft;60
2015;Eheschließung;2540
2016;Lebenspartnerschaft;55
2016;Eheschließung;2580
2017;Eheschließung;2685
2017;Gleichgeschlechtliche Ehe;10
2017;Lebenspartnerschaft;40
2018;Eheschließung;2695
2018;Gleichgeschlechtliche Ehe;95
2019;Gleichgeschlechtliche Ehe;100
2019;Eheschließung;2550
2020;Gleichgeschlechtliche Ehe;75
2020;Eheschließung;2175
2021;Gleichgeschlechtliche Ehe;65
2021;Eheschließung;2060
2022;Eheschließung;2300
2022;Gleichgeschlechtliche Ehe;90
2023;Eheschließung;2320
2023;Gleichgeschlechtliche Ehe;85
2024;Eheschließung;2035
2024;Gleichgeschlechtliche Ehe;70
2025;Gleichgeschlechtliche Ehe;10
2025;Eheschließung;235
