;1. Start des Fragebogens;1. Start des Fragebogens;1. Start des Fragebogens;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;5. Demographische Daten;5. Demographische Daten;6. Stromspiegel;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;7. Abschluss des Fragebogens
;;;;2.1 Strom ;2.1 Strom (Matrix mit Einfachauswahl);2.1 Strom (Matrix mit Einfachauswahl);2.1 Strom (Matrix mit Einfachauswahl);2.1 Strom (Matrix mit Einfachauswahl);2.1 Strom (Matrix mit Einfachauswahl);2.1 Strom (Matrix mit Einfachauswahl);2.1 Strom (Matrix mit Einfachauswahl);;2.2 Wärme ;2.2 Wärme (Matrix mit Einfachauswahl);2.2 Wärme (Matrix mit Einfachauswahl);2.2 Wärme (Matrix mit Einfachauswahl);2.2 Wärme (Matrix mit Einfachauswahl);;2.3 Kommunikation;2.3 Kommunikation (Matrix mit Einfachauswahl);3.1 Strom ;3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);3.1 Strom (Matrix mit Einfachauswahl);;3.2 Wärme;3.2 Wärme (Matrix mit Einfachauswahl);3.2 Wärme (Matrix mit Einfachauswahl);3.2 Wärme (Matrix mit Einfachauswahl);3.2 Wärme (Matrix mit Einfachauswahl);3.2 Wärme (Matrix mit Einfachauswahl);3.2 Wärme (Matrix mit Einfachauswahl);;3.3 Kommunikation;3.3 Kommunikation (Matrix mit Einfachauswahl);4.1 Mobilität ;4.1 Mobilität (Matrix mit Einfachauswahl);4.1 Mobilität (Matrix mit Einfachauswahl);4.1 Mobilität (Matrix mit Einfachauswahl);4.1 Mobilität (Matrix mit Einfachauswahl);4.1 Mobilität (Matrix mit Einfachauswahl);4.1 Mobilität (Matrix mit Einfachauswahl);4.1 Mobilität (Matrix mit Einfachauswahl);;;;;;;;;
;Sind Sie Mitarbeiterin oder Mitarbeiter in der Landesverwaltung NRW? ;Welchem Ressort/Ministerium ist Ihre Behörde oder Dienststelle zugehörig? ;Wird in Ihrer Behörde oder Dienststelle die „mission E“ aktiv umgesetzt? ;Wenn ich den Arbeitsplatz verlasse, nutze ich den Ruhezustand des Computers.;Ich stelle die Helligkeit meines Monitors entsprechend der aktuellen Lichtverhältnisse ein.;Ich schalte den Drucker aus, nachdem ich ihn benutzt habe.;Ich schalte die Beleuchtung nur in den Zimmern ein, in denen ich mich gerade aufhalte.;Ich nutze Geschirrteile, wie Kaffeetassen und Wassergläser, mehrmals, um die Anzahl der Spülgänge zu verringern.;Ich trenne elektronische Geräte nach dem Gebrauch komplett vom Stromnetz (beispielsweise durch abschaltbare Steckdosenleisten).;Ich achte darauf, auch in gemeinschaftlichen Räumlichkeiten (Fluren, Toiletten, Teeküchen usw.) das Licht auszuschalten, wenn es nicht gebraucht wird.;In meinem Büro stelle ich im Sommer die Klimatisierung auf 21°C oder weniger ein.;Ich nutze einen Bildschirmschoner. ;In meinem Büro ist es im Winter so warm, dass mir auch im T-Shirt warm genug ist.;Im Winter drehe ich bei längeren Abwesenheiten und nachts meine Heizung im Büro herunter.;Im Winter lüfte ich das Büro, indem ich die Fenster 3- bis 4-mal täglich ganz aufreiße (Stoß- oder Querlüftung).;Beim Lüften während der Heizperiode drehe ich die Heizung herunter.;Ich wasche meine Hände mit warmem Wasser.;Ich achte darauf, dass Heizkörper und Ventile freistehen und nicht durch Vorhänge oder Ähnliches verdeckt werden. (Einfachauswahl);Wenn mir Einsparmöglichkeiten bei Kolleginnen und Kollegen auffallen, mache ich sie darauf aufmerksam.;Ich unterhalte mich mit Kolleginnen und Kollegen über Konsequenzen von Klimawandel und Energieverbrauch.;Wenn ich den Schreibtisch verlasse, nutze ich den Ruhezustand des Computers.;Ich stelle die Helligkeit meines Monitors entsprechend der aktuellen Lichtverhältnisse ein.;Ich schalte den Drucker aus, nachdem ich ihn benutzt habe.;Ich schalte die Beleuchtung nur in den Zimmern ein, in denen ich mich gerade aufhalte.;Ich nutze Geschirrteile, wie Kaffeetassen und Wassergläser, mehrmals, um die Anzahl der Spülgänge zu verringern.;Ich trenne elektronische Geräte nach dem Gebrauch komplett vom Stromnetz (beispielsweise durch abschaltbare Steckdosenleisten).;Ich ziehe nach dem Aufladen eines mobilen Endgeräts das Netzteil wieder aus der Steckdose.;Ich deaktiviere das WLAN komplett, wenn ich es nicht benötige (z.B. nachts oder im Urlaub).;Ich achte darauf Kühl- und Gefriergeräte regelmäßig abzutauen.;Ich benutze einen Wäschetrockner.;Beim Kauf von Haushaltsgeräten wähle ich Geräte mit einer besonders guten Energieeffizienzklasse.;Ich notiere regelmäßig meinen Stromzählerstand, um meine Wochen- und/oder Monatsverbräuche ermitteln zu können.;Ich nutze einen Bildschirmschoner. ;In meiner Wohnung ist es im Winter so warm, dass mir auch im T-Shirt warm genug ist.;Im Winter drehe ich bei längeren Abwesenheiten und nachts meine Heizung herunter.;Im Winter lüfte ich, indem ich die Fenster 3- bis 4-mal täglich ganz aufreiße (Stoß- oder Querlüftung).;Beim Lüften während der Heizperiode, drehe ich die Heizung runter.;Ich dusche (statt zu baden).;Ich wasche meine Hände mit warmem Wasser.;Ich notiere regelmäßig meinen Wärmeverbrauch (z.B. den Gaszählerstand), um meine Wochen- und/oder Monatsverbräuche ermitteln zu können.;Ich achte darauf, dass Heizkörper und Ventile freistehen und nicht durch Vorhänge oder Ähnliches verdeckt werden. (Einfachauswahl);Wenn mir Einsparmöglichkeiten bei Familie und Freunden auffallen, mache ich sie darauf aufmerksam.;Ich unterhalte mich mit Familie und Freunden über Konsequenzen von Klimawandel und Energieverbrauch.;Für den Arbeitsweg benutze ich das Fahrrad, öffentliche Verkehrsmittel oder gehe zu Fuß.;Für den Arbeitsweg nutze ich das Pendlerportal NRW (oder andere „Car-Pooling“ Angebote).;Für dienstliche Reisen benutze ich das Fahrrad, öffentliche Verkehrsmittel oder gehe zu Fuß.;Für längere dienstliche Reisen (6 Stunden Auto-/Zugfahrt und länger) nehme ich das Flugzeug.;Ich fahre mit dem Auto in die Stadt bzw. ich fahre in der Stadt Auto.;Für Fahrten in die umliegende Gegend (bis 30 km) benutze ich öffentliche Verkehrsmittel oder das Fahrrad.;Für längere private Reisen (6 Stunden Auto-/Zugfahrt und länger) nehme ich das Flugzeug.;Durch mein Fahrverhalten versuche ich, den Kraftstoffverbrauch so niedrig wie möglich zu halten.;Ich verzichte ganz auf ein (eigenes) Auto. (Einfachauswahl);Altersgruppe (Einfachauswahl);Geschlecht (Einfachauswahl);Haben Sie Ihren jährlichen Stromverbrauch in kWh zur Hand? Dann freuen wir uns, wenn Sie uns noch ein paar weitere optionale Angaben zu Ihrem privaten Energieverbrauch machen. (Einfachauswahl);In welchem Gebäudetyp wohnen Sie? (Einfachauswahl);Wie wird Ihr Warmwasser bereitet? (Einfachauswahl);Anzahl der Personen im Haushalt (Offene Frage);Jahresstromverbrauch (in kWh) (Offene Frage);Ich habe die obenstehenden Fragen nach bestem Wissen und Gewissen beantwortet. (Einfachauswahl)
ID;1_LV;1_Ressortzugehörigkeit;1_missionE_Umsetzung;Büro_Strom_Ruhezustand;Büro_Strom_Monitorhelligkeit;Büro_Strom_Drucker;Büro_Strom_Licht;Büro_Strom_Spülmaschine;Büro_Strom_Steckerleiste;Büro_Strom_Beleuchtung_Gemeinschaftsräume;Büro_Strom_Klimatisierung_NEG;Büro_Strom_Bildschirmschoner_NEG;Büro_Wärme_T-Shirt_NEG;Büro_Wärme_Heizung;Büro_Wärme_Stoßlüften;Büro_Wärme_Lüften_Heizung;Büro_Wärme_Warmwasser_NEG;Büro_Wärme_Heizkörper;Büro_Komm_Einsparmöglichkeiten;Büro_Komm_Klimawandel;Privat_Strom_Ruhezustand;Privat_Strom_Monitorhelligkeit;Privat_Strom_Drucker;Privat_Strom_Beleuchtung_insgesamt;Privat_Strom_Spülmaschine;Privat_Strom_Steckerleiste;Privat_Strom_Netzteil;Privat_Strom_WLAN;Privat_Strom_Abtauen;Privat_Strom_Trockner_NEG;Privat_Strom_Neukauf;Privat_Strom_Controlling;Privat_Strom_Bildschirmschoner_NEG;Privat_Wärme_T-Shirt_NEG;Privat_Wärme_Heizung;Privat_Wärme_Stoßlüften;Privat_Wärme_Lüften_Heizung;Privat_Wärme_Duschen;Privat_Wärme_Warmwasser_NEG;Privat_Wärme_Controlling;Privat_Wärme_Heizkörper;Privat_Komm_Einsparmöglichkeiten;Privat_Komm_Klimawandel;Büro_Mobilität_Arbeitsweg_ÖPNV;Büro_Mobilität_Arbeitsweg_Pendlerportal;Büro_Mobilität_Dienstreise_ÖPNV;Büro_Mobilität_Dienstreise_Flugzeug_NEG;Privat_Mobilität_Stadt_NEG;Privat_Mobilität_ÖPNV;Privat_Mobilität_Flugzeug_NEG;Privat_Mobilität_Fahrverhalten;Privat_Mobilität_Autoverzicht;Alter;Geschlecht;Stromspiegel_JaNein;Gebäudetyp;Warmwasserbereitung;Personenzahl;Jahresstromverbrauch;Datenverwertbarkeit
1096693;Nein;Ministerium der Justiz;Nein;nie;immer;nie;immer;immer;nie;nie;k. A.;Nein;nie;nie;nie;nie;nie;Nein;nie;nie;;nie;nie;immer;nie;nie;immer;nie;nie;gelegentlich;selten;nie;Nein;nie;gelegentlich;nie;immer;immer;gelegentlich;nie;Ja;nie;nie;nie;nie;nie;nie;immer;nie;immer;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1096704;Ja;Ministerium der Justiz;Nein;nie;nie;nie;k. A.;k. A.;immer;immer;k. A.;Ja;nie;nie;oft;nie;nie;Ja;oft;gelegentlich;immer;nie;immer;immer;immer;immer;immer;nie;immer;nie;oft;oft;Ja;nie;immer;immer;immer;immer;gelegentlich;nie;Ja;gelegentlich;gelegentlich;nie;nie;k. A.;k. A.;immer;nie;nie;immer;Nein;50-59;männlich;Ja;Haus;Ohne Strom;2;2.100;Ja
1096709;Ja;Ministerium der Justiz;Nein;nie;nie;oft;immer;immer;k. A.;immer;k. A.;Nein;nie;immer;immer;immer;nie;k. A.;gelegentlich;oft;nie;nie;k. A.;immer;immer;immer;immer;nie;gelegentlich;nie;;nie;;nie;immer;immer;immer;immer;selten;nie;Ja;gelegentlich;oft;nie;nie;oft;k. A.;oft;selten;gelegentlich;selten;Nein;30-39;weiblich;Nein;;;;;Ja
1096721;Nein;Ministerium der Justiz;Nein;selten;nie;nie;immer;immer;gelegentlich;gelegentlich;nie;Ja;nie;immer;gelegentlich;oft;nie;Ja;selten;gelegentlich;gelegentlich;nie;nie;oft;immer;gelegentlich;gelegentlich;oft;gelegentlich;nie;gelegentlich;nie;Ja;nie;immer;gelegentlich;oft;immer;gelegentlich;nie;Ja;gelegentlich;oft;immer;nie;immer;nie;nie;immer;nie;oft;Ja;18-29;weiblich;Nein;;;;;Ja
1096740;Ja;Ministerium der Justiz;Nein;selten;nie;immer;immer;immer;immer;immer;immer;Ja;nie;immer;oft;gelegentlich;nie;Ja;nie;selten;k. A.;k. A.;immer;immer;oft;gelegentlich;nie;nie;selten;oft;oft;nie;k. A.;selten;oft;oft;selten;immer;oft;nie;Ja;nie;selten;nie;nie;nie;k. A.;oft;nie;gelegentlich;oft;Nein;18-29;weiblich;Nein;;;;;Ja
1096745;Ja;Ministerium der Justiz;Nein;immer;selten;oft;immer;gelegentlich;gelegentlich;immer;k. A.;Ja;nie;immer;oft;immer;oft;Ja;selten;selten;immer;gelegentlich;immer;immer;gelegentlich;oft;immer;nie;gelegentlich;nie;oft;nie;Ja;nie;immer;immer;immer;immer;oft;nie;Ja;gelegentlich;gelegentlich;selten;nie;oft;nie;oft;selten;gelegentlich;gelegentlich;Nein;40-49;männlich;Nein;;;;;Ja
1096747;Ja;Ministerium der Justiz;Nein;oft;nie;nie;immer;immer;nie;immer;k. A.;Ja;nie;immer;immer;immer;gelegentlich;Ja;oft;selten;immer;nie;nie;immer;immer;gelegentlich;nie;nie;gelegentlich;gelegentlich;oft;immer;Ja;selten;immer;immer;immer;;gelegentlich;immer;Ja;oft;selten;oft;k. A.;oft;k. A.;selten;oft;selten;immer;Nein;40-49;weiblich;Nein;;;;;Ja
