Regierungsbezirk;Kreis/Kreisfreie Stadt ;Kommune;Anzahl der durchgeführten verkaufsoffenen Sonn- und Feiertage ;für Verordnung/en herangezogene Sachgründe (1-5) nach § 6 Abs. 1 S. 2 LÖG NRW;Freigabe von verkaufsoffenen Sonn- und Feiertagen durch Dauerverordnung/en (Ja/Nein) ;gerichtliche Streitfälle/ Erläuterungen 
Regierungsbezirk Arnsberg gesamt;Regierungsbezirk Arnsberg gesamt;Regierungsbezirk Arnsberg gesamt;196;/;/;/
Regierungsbezirk Arnsberg;Stadt Bochum;Stadt Bochum;6;6;Nein;keine
Regierungsbezirk Arnsberg;Stadt Dortmund;Stadt Dortmund;11;1,2,3,4,5;Nein;keine
Regierungsbezirk Arnsberg;Stadt Hagen;Stadt Hagen;4;1;2;keine
Regierungsbezirk Arnsberg;Stadt Hamm;Stadt Hamm;4;1,2,3,4,5;Nein;keine
Regierungsbezirk Arnsberg;Stadt Herne;Stadt Herne;0;0;Nein;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Breckerfeld;0;0;Nein;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Ennepetal;1;1,2,4,5;Nein;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Gevelsberg;4;;Ja;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Hattingen;4;1;Nein;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Herdecke;4;1;Nein;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Schwelm;3;3;Nein;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Sprockhövel;1;1;Ja;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Wetter;2;1;Nein;keine
Regierungsbezirk Arnsberg;Ennepe-Ruhr-Kreis; Witten;3;1;Nein;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Arnsberg;10;1.;Ja;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Bestwig;0;0;Nein;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Brilon;6;1.;Ja;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Eslohe;2;2.;Nein;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Hallenberg;1;1.;Ja;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Marsberg;4;4.;Ja;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Medebach;3;3.;Ja;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Meschede;3;0;Nein;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Olsberg;2;1.;Nein;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Schmallenberg;2;2.;Nein;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Sundern;5;1.;Ja;keine
Regierungsbezirk Arnsberg;Hochsauerland-Kreis; Winterberg;;;Ja;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Altena;2;2;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Balve;1;1;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Halver;1;1;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Hemer;1;1,2,3,4,5;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Herscheid;0;;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Iserlohn;5;1,2,3,4,5;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Kierspe;0;;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Lüdenscheid;0;;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Meinerzhagen;1;1;Nein;  keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Menden;4;1;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Nachrodt-Wiblingwerde;0;;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Neuenrade;0;;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Plettenberg;1;1;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Schalksmühle;0;;Nein;keine
Regierungsbezirk Arnsberg;Märkischer  Kreis; Werdohl;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Olpe; Attendorn;4;4;Nein;keine
Regierungsbezirk Arnsberg;Kreis Olpe; Drolshagen;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Olpe; Finnentrop;2;1,2,3,4,;Ja;keine
Regierungsbezirk Arnsberg;Kreis Olpe; Kirchhundem;;;;
Regierungsbezirk Arnsberg;Kreis Olpe; Lennestadt;5;1;Nein;Keine
Regierungsbezirk Arnsberg;Kreis Olpe; Olpe;4;1;Ja;keine
Regierungsbezirk Arnsberg;Kreis Olpe; Wenden;1;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Bad Berleburg;3;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Burbach;0;0;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Erndtebrück;0;0;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Freudenberg;2;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Hilchenbach;4;1;Ja;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Kreuztal;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Bad Laasphe;3;3;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Netphen;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Neunkirchen;2;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Siegen;2;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Siegen-Wittgenstein; Wilnsdorf;3;1;Ja;keine
Regierungsbezirk Arnsberg;Kreis Soest; Anröchte;2;2;ja;keine
Regierungsbezirk Arnsberg;Kreis Soest; Bad Sassendorf;0;0;Nein;keine
Regierungsbezirk Arnsberg;Kreis Soest; Ense;1;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Soest; Erwitte;4;1,3;Ja;keine
