anzahl,vorname,geschlecht,position
50,Emil,m,1
48,Noah,m,1
41,Sophie,w,2
40,Charlotte,w,1
40,Emilia,w,1
38,Marie,w,2
34,Ella,w,1
34,Mila,w,1
32,Theo,m,1
31,Alexander,m,2
29,Emma,w,1
29,Liam,m,1
28,Karl,m,1
27,Mathilda,w,1
26,Adam,m,1
26,Ben,m,1
26,Oskar,m,1
24,Nora,w,1
24,Elias,m,1
24,Leo,m,1
24,Linus,m,1
23,Mia,w,1
23,Felix,m,1
22,Amelie,w,1
22,Anna,w,1
22,Clara,w,1
22,Charlotte,w,2
21,Alma,w,1
21,Anton,m,1
21,Arthur,m,1
21,Finn,m,1
21,Leon,m,1
21,Luca,m,1
21,Mika,m,1
21,Paul,m,1
20,Ida,w,1
20,Sophia,w,1
20,Bruno,m,1
19,Lia,w,1
19,Valentin,m,1
19,Luise,w,2
18,Emily,w,1
18,Hannah,w,1
18,Mira,w,1
18,Fritz,m,1
17,Amalia,w,1
17,Lilly,w,1
17,Luna,w,1
17,Emilio,m,1
17,Friedrich,m,1
17,Gustav,m,1
17,Henry,m,1
17,Jonas,m,1
17,Levi,m,1
17,Lio,m,1
17,Milo,m,1
17,Moritz,m,1
17,Emilia,w,2
16,Frieda,w,1
16,Klara,w,1
16,Lea,w,1
16,Lena,w,1
16,Leni,w,1
16,Lina,w,1
16,Merle,w,1
16,Johann,m,1
16,Milan,m,1
16,Theodor,m,1
16,Maria,w,2
15,Elena,w,1
15,Helena,w,1
15,Johanna,w,1
15,Marie,w,1
15,Ali,m,1
15,Jonathan,m,1
15,Max,m,1
15,Samuel,m,1
14,Alva,w,1
14,Hanna,w,1
14,Lara,w,1
14,Lotta,w,1
14,Nele,w,1
14,Erik,m,1
14,Mateo,m,1
14,Matteo,m,1
14,Maxim,m,1
14,Elisabeth,w,2
14,Elias,m,2
14,Maximilian,m,2
13,Isabella,w,1
13,Rosalie,w,1
13,Thea,w,1
13,Valentina,w,1
13,Jonah,m,1
13,Malte,m,1
13,Maximilian,m,1
13,Till,m,1
12,Helene,w,1
12,Leonie,w,1
12,Marlene,w,1
12,Sofia,w,1
12,Adrian,m,1
12,Carlo,m,1
12,Franz,m,1
12,Jakob,m,1
12,Jannis,m,1
12,Julian,m,1
12,Louis,m,1
12,Simon,m,1
11,Edda,w,1
11,Freya,w,1
11,Maja,w,1
11,Paulina,w,1
11,Mats,m,1
11,Vincent,m,1
11,Emil,m,2
11,Levi,m,2
11,Paul,m,2
10,Amira,w,1
10,Elisa,w,1
10,Eva,w,1
10,Frida,w,1
10,Juna,w,1
10,Liv,w,1
10,Luisa,w,1
10,Malia,w,1
10,Martha,w,1
10,Melina,w,1
10,Milena,w,1
10,Olivia,w,1
10,Sophie,w,1
10,Yuna,w,1
10,Aaron,m,1
10,Benjamin,m,1
10,Kurt,m,1
10,Leopold,m,1
10,Marlon,m,1
10,Mattis,m,1
10,Oliver,m,1
10,Raphael,m,1
10,Richard,m,1
10,Amalia,w,2
10,Helene,w,2
10,Noah,m,2
10,Otto,m,2
9,Anastasia,w,1
9,Aurelia,w,1
9,Finja,w,1
9,Fiona,w,1
9,Fritzi,w,1
9,Kira,w,1
9,Lotte,w,1
9,Maria,w,1
9,Marla,w,1
9,Matilda,w,1
9,Maya,w,1
9,Rosa,w,1
9,Tilda,w,1
9,Zoe,w,1
9,Alexander,m,1
9,David,m,1
9,Julius,m,1
9,Lukas,m,1
9,Mattheo,m,1
9,Neo,m,1
9,Johanna,w,2
9,Valentina,w,2
9,Emilio,m,2
9,Liam,m,2
9,Valentin,m,2
8,Cleo,w,1
8,Elisabeth,w,1
8,Luise,w,1
