Jahr;Zoo Besuche;Kommune
1990;707656;Dortmund
1994;661845;Dortmund
1995;677869;Dortmund
1997;662453;Dortmund
1999;572641;Dortmund
2001;511429;Dortmund
2003;538932;Dortmund
2006;454574;Dortmund
2007;503432;Dortmund
2013;465539;Dortmund
2014;487502;Dortmund
2021;382546;Dortmund
2022;460803;Dortmund
1991;654831;Dortmund
1996;636810;Dortmund
2000;588694;Dortmund
2004;530384;Dortmund
2011;414247;Dortmund
2016;490235;Dortmund
2019;459266;Dortmund
2020;311126;Dortmund
1992;735368;Dortmund
1993;731154;Dortmund
1998;535023;Dortmund
2002;576303;Dortmund
2005;486441;Dortmund
2008;482914;Dortmund
2009;487340;Dortmund
2010;391221;Dortmund
2012;384646;Dortmund
2015;489169;Dortmund
2017;445694;Dortmund
2018;457817;Dortmund
2023;409560;Dortmund
