id;einrichtung;benennung;strasse;plz;benutzung;oeffnungszeiten;barrierefreiheit
1;"Öffentliche Einrichtung";"Bezirksamt Lichtenberg - Dienstgebäude";"Alt-Friedrichsfelde 60";"10315 Berlin";kostenlos;"Mo-Fr 08:00-18:00 Uhr";ja
4;"Sonstige Toiletten";"Bahnhof Lichtenberg - WC-Center";"Weitlingstr. 22";"10317 Berlin";kostenpflichtig;durchgehend;ja
7;"Öffentliche Einrichtung";"Museum Lichtenberg";"Türrschmidtstr. 24";"10317 Berlin";kostenlos;"Di-Fr 11:00-18:00 Uhr / So 11:00-18:00 Uhr / feiertags geschlossen";ja
10;"Öffentliche Einrichtung";"Stadtteilzentrum Lichtenberg Mitte";"Margaretenstr. 11";"10317 Berlin";kostenlos;"während der Öffnungszeiten";ja
13;Einkaufscentren;"Victoria Center";"Marktstr. 6";"10317 Berlin";kostenpflichtig;"während der Öffnungszeiten";ja
16;WALL-Citytoiletten;WALL-Citytoilette;"Bahnhof Lichtenberg - Einbecker Straße Ecke Weitlingstraße";"10317 Berlin";kostenpflichtig;durchgehend;ja
19;WALL-Citytoiletten;WALL-Citytoilette;"Bahnhof Nöldnerplatz, Lückstraße/ Ecke Archibaldweg";"10317 Berlin";kostenpflichtig;durchgehend;ja
22;"Öffentliche Einrichtung";"Kulturhaus Karlshorst";"Treskowallee 112";"10318 Berlin";kostenlos;"während der Öffnungszeiten";ja
25;WALL-Citytoiletten;WALL-Citytoilette;"Bahnhof Karlshorst - Stolzenfelsstr.";"10318 Berlin";kostenpflichtig;durchgehend;ja
28;"Öffentliche Einrichtung";Bodo-Uhse-Bibliothek;"Erich-Kurz-Str. 9";"10319 Berlin";kostenlos;"Mo, Di, Do, Fr 09:00-19:00 Uhr / Mi 13:00-19:00 Uhr / Sa 09:00-15:00 Uhr";ja
31;"Öffentliche Einrichtung";"Bürgeramt 3 im Tierpark Center";"Otto-Schmirgal-Str. 1";"10319 Berlin";kostenlos;"während der Öffnungszeiten";ja
34;Einkaufscentren;"Tierpark Center";"Otto-Schmirgal-Str. 1-7";"10319 Berlin";kostenpflichtig;"während der Öffnungszeiten";ja
37;Tankstellen;"Jet Tankstelle";"Am Tierpark 126";"10319 Berlin";"auf Nachfrage";"während der Öffnungszeiten";
40;"Öffentliche Einrichtung";"Stadtteilzentrum Lichtenberg Süd - iKARUS";"Wandlitzstr. 13";"10319 Berlin";kostenlos;"während der Öffnungszeiten";ja
43;"Öffentliche Einrichtung";Egon-Erwin-Kisch-Bibliothek;"Frankfurter Allee 149";"10365 Berlin";kostenlos;"Mo, Di, Do, Fr 09:00-19:00 Uhr / Mi 13:00-19:00 Uhr / Sa 09:00-15:00 Uhr";ja
46;Einkaufscentren;"Globus Baumarkt";"Landsberger Allee 360-362";"10365 Berlin";kostenlos;"während der Öffnungszeiten";ja
49;Einkaufscentren;IKEA;"Landsberger Allee 364";"10365 Berlin";kostenlos;"Mo-Sa 10:00-21:00 Uhr";ja
52;Tankstellen;"Jet Tankstelle";"Herzbergstr. 27";"10365 Berlin";"auf Nachfrage";"während der Öffnungszeiten";
55;"Öffentliche Einrichtung";"Keramikatelier Lichtenberg";"Frankfurter Allee 203";"10365 Berlin";kostenlos;"Mo-Do 08:00-21:00 Uhr";ja
58;"Öffentliche Einrichtung";"Stadtteilzentrum Lichtenberg Nord - Kiezspinne";"Schulze-Boysen-Str. 38";"10365 Berlin";kostenlos;"während der Öffnungszeiten";ja
61;WALL-Citytoiletten;WALL-Citytoilette;"Gürtelstraße Ecke Frankfurter Allee";"10365 Berlin";kostenpflichtig;durchgehend;ja
64;WALL-Citytoiletten;WALL-Citytoilette;"Zugang Zentralfriedhof - Rüdigerstraße";"10365 Berlin";kostenpflichtig;durchgehend;ja
67;"Öffentliche Einrichtung";"Bürgeramt 2";"Normannenstr. 1-2";"10367 Berlin";kostenlos;"während der Öffnungszeiten";ja
70;Einkaufscentren;"Möllendorff Passage Lichtenberg";"Möllendorffstr. 47";"10367 Berlin";kostenpflichtig;"während der Öffnungszeiten";ja
