Datum;Bundesland;Altersgruppe;7T_Hospitalisierung_Faelle;7T_Hospitalisierung_Inzidenz
2021-06-20;Nordrhein-Westfalen;05-14;2;0.12
2021-06-20;Nordrhein-Westfalen;80+;19;1.49
2021-06-19;Bundesgebiet;05-14;7;0.09
2021-06-19;Bundesgebiet;15-34;86;0.45
2021-06-19;Bundesgebiet;60-79;156;0.83
2021-06-19;Bundesgebiet;80+;84;1.37
2021-06-19;Nordrhein-Westfalen;35-59;37;0.61
2021-06-18;Bundesgebiet;15-34;93;0.49
2021-06-18;Bundesgebiet;80+;101;1.65
2021-06-18;Nordrhein-Westfalen;00+;140;0.77
2021-06-18;Nordrhein-Westfalen;15-34;25;0.59
2021-06-18;Nordrhein-Westfalen;80+;22;1.72
2021-06-17;Bundesgebiet;15-34;103;0.54
2021-06-17;Bundesgebiet;80+;109;1.78
2021-06-17;Nordrhein-Westfalen;00-04;8;0.91
2021-06-17;Nordrhein-Westfalen;15-34;28;0.66
2021-06-16;Bundesgebiet;05-14;14;0.18
2021-06-16;Bundesgebiet;15-34;106;0.56
2021-06-16;Bundesgebiet;60-79;195;1.04
2021-06-16;Bundesgebiet;80+;112;1.83
2021-06-16;Nordrhein-Westfalen;05-14;3;0.17
2021-06-15;Bundesgebiet;15-34;114;0.6
2021-06-15;Nordrhein-Westfalen;00-04;8;0.91
2021-06-15;Nordrhein-Westfalen;00+;199;1.1
2021-06-15;Nordrhein-Westfalen;35-59;72;1.18
2021-06-14;Bundesgebiet;00-04;19;0.48
2021-06-14;Bundesgebiet;35-59;278;0.98
2021-06-14;Bundesgebiet;60-79;241;1.29
2021-06-14;Nordrhein-Westfalen;00+;200;1.1
2021-06-14;Nordrhein-Westfalen;35-59;70;1.15
2021-06-14;Nordrhein-Westfalen;80+;29;2.27
2021-06-13;Bundesgebiet;00-04;18;0.45
2021-06-13;Bundesgebiet;00+;841;1.0
2021-06-13;Bundesgebiet;35-59;293;1.03
2021-06-13;Nordrhein-Westfalen;05-14;6;0.35
2021-06-13;Nordrhein-Westfalen;15-34;38;0.9
2021-06-13;Nordrhein-Westfalen;60-79;51;1.29
2021-06-12;Bundesgebiet;00-04;18;0.45
2021-06-12;Bundesgebiet;15-34;136;0.71
2021-06-12;Nordrhein-Westfalen;00-04;5;0.57
2021-06-12;Nordrhein-Westfalen;00+;229;1.26
2021-06-12;Nordrhein-Westfalen;15-34;39;0.92
2021-06-12;Nordrhein-Westfalen;35-59;89;1.46
2021-06-12;Nordrhein-Westfalen;80+;37;2.89
2021-06-11;Bundesgebiet;00+;935;1.11
2021-06-11;Bundesgebiet;60-79;270;1.44
2021-06-11;Nordrhein-Westfalen;00-04;5;0.57
2021-06-11;Nordrhein-Westfalen;35-59;99;1.63
2021-06-10;Bundesgebiet;00-04;16;0.4
2021-06-10;Bundesgebiet;05-14;25;0.31
2021-06-10;Bundesgebiet;35-59;342;1.2
2021-06-10;Bundesgebiet;80+;167;2.73
2021-06-10;Nordrhein-Westfalen;00+;244;1.35
2021-06-09;Bundesgebiet;80+;184;3.01
2021-06-09;Nordrhein-Westfalen;00+;258;1.42
2021-06-08;Bundesgebiet;00-04;16;0.4
2021-06-08;Bundesgebiet;80+;198;3.24
2021-06-08;Nordrhein-Westfalen;00+;277;1.53
2021-06-08;Nordrhein-Westfalen;60-79;84;2.12
2021-06-07;Bundesgebiet;15-34;156;0.82
2021-06-07;Bundesgebiet;60-79;349;1.86
2021-06-07;Bundesgebiet;80+;202;3.3
2021-06-07;Nordrhein-Westfalen;05-14;4;0.23
2021-06-06;Bundesgebiet;00+;1172;1.39
2021-06-06;Bundesgebiet;35-59;407;1.43
2021-06-06;Bundesgebiet;60-79;365;1.95
2021-06-06;Bundesgebiet;80+;197;3.22
2021-06-06;Nordrhein-Westfalen;00+;301;1.66
2021-06-06;Nordrhein-Westfalen;15-34;43;1.02
2021-06-05;Bundesgebiet;00-04;20;0.5
2021-06-05;Nordrhein-Westfalen;00+;323;1.78
2021-06-04;Bundesgebiet;15-34;177;0.93
2021-06-04;Bundesgebiet;60-79;448;2.39
2021-06-04;Nordrhein-Westfalen;00+;342;1.89
2021-06-04;Nordrhein-Westfalen;05-14;11;0.64
2021-06-03;Bundesgebiet;35-59;519;1.82
2021-06-03;Bundesgebiet;60-79;494;2.63
2021-06-03;Bundesgebiet;80+;253;4.14
2021-06-03;Nordrhein-Westfalen;00-04;3;0.34
2021-06-03;Nordrhein-Westfalen;00+;376;2.07
2021-06-03;Nordrhein-Westfalen;05-14;11;0.64
2021-06-03;Nordrhein-Westfalen;60-79;112;2.83
2021-06-02;Bundesgebiet;00-04;25;0.63
2021-06-02;Nordrhein-Westfalen;00-04;5;0.57
2021-06-02;Nordrhein-Westfalen;15-34;60;1.42
2021-06-01;Bundesgebiet;00+;1764;2.09
2021-06-01;Bundesgebiet;05-14;30;0.38
